timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
1844874029,5.26743,0.0,0,0,1,0,0,0,0
1845374029,5.26904,0.0,0,0,1,0,0,0,0
1845874746,5.26904,0.0,0,0,1,0,0,0,0
1846384031,5.27388,0.0,0,0,1,0,0,0,0
1846884056,5.21587,0.0,0,0,1,0,0,0,0
1847384031,5.2771,0.0,0,0,1,0,0,0,0
1847884140,5.2771,0.0,0,0,1,0,0,0,0
1848384154,5.26904,0.0,0,0,1,0,0,0,0
1848884035,5.27065,0.0,0,0,1,0,0,0,0
1849384036,5.25454,0.0,0,0,1,0,0,0,0
1849884037,5.27388,0.0,0,0,1,0,0,0,0
1850394110,5.28193,0.0,0,0,1,0,0,0,0
1850894029,5.22231,0.0,0,0,1,0,0,0,0
1851394121,5.28193,0.0,0,0,1,0,0,0,0
1851894368,5.2771,0.0,0,0,1,0,0,0,0
1852404031,5.27549,0.0,0,0,1,0,0,0,0
1852904036,5.27549,0.0,0,0,1,0,0,0,0
1853404194,5.2771,0.0,0,0,1,0,0,0,0
1853904040,5.21587,0.0,0,0,1,0,0,0,0
1854404034,5.27388,0.0,0,0,1,0,0,0,0
1854904085,5.28193,0.0,0,0,1,0,0,0,0
1855404031,5.28032,0.0,0,0,1,0,0,0,0
1855904074,5.28193,0.0,0,0,1,0,0,0,0
1856404112,5.28516,0.0,0,0,1,0,0,0,0
1856904509,5.21587,0.0,0,0,1,0,0,0,0
1857404029,5.27549,0.0,0,0,1,0,0,0,0
1857904068,5.28355,0.0,0,0,1,0,0,0,0
1858404086,5.26421,0.0,0,0,1,0,0,0,0
1858904180,5.2771,0.0,0,0,1,0,0,0,0
1859404345,5.21909,0.0,0,0,1,0,0,0,0
1859914050,5.2771,0.0,0,0,1,0,0,0,0
1860414029,5.2771,0.0,0,0,1,0,0,0,0
1860914029,5.20781,0.0,0,0,1,0,0,0,0
1861414880,5.27227,0.0,0,0,1,0,0,0,0
1861914039,5.27227,0.0,0,0,1,0,0,0,0
1862414029,5.21265,0.0,0,0,1,0,0,0,0
1862914039,5.27388,0.0,0,0,1,0,0,0,0
1863414049,5.28032,0.0,0,0,1,0,0,0,0
1863914047,5.2771,0.0,0,0,1,0,0,0,0
1864424032,5.27549,0.0,0,0,1,0,0,0,0
1864924065,5.21265,0.0,0,0,1,0,0,0,0
