timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
1977858942,0.120939,0.331286,-0.00152802
1977870148,0.11031,0.330189,0.0302475
1977878942,0.121772,0.332383,0.0495271
1977890149,0.105051,0.321194,0.0284584
1977898942,0.134321,0.330554,0.0485381
1977908570,0.112154,0.306861,0.0291482
1977919743,0.158808,0.383425,0.0912391
1977930956,0.111233,0.296477,0.0463341
1977939743,0.120492,0.325728,0.0734179
1977950942,0.101348,0.309421,0.0642377
1977959751,0.102845,0.300572,0.0696121
1977970942,0.102845,0.300572,0.0696121
1977980543,0.105086,0.305764,0.0611146
1977991750,0.109626,0.322218,0.0763134
1978000544,0.07598,0.347959,0.104575
1978010942,0.092376,0.325582,0.0651094
1978021343,0.092376,0.325582,0.0651094
1978031742,0.109381,0.312638,0.0475875
1978041382,0.0428791,0.37348,0.122664
1978051885,0.0953535,0.293552,0.0761665
1978062178,0.0663609,0.388398,0.15082
1978072747,0.0663609,0.388398,0.15082
1978083742,0.0632125,0.317611,0.109649
1978092543,0.0849919,0.25399,0.0696595
1978102306,0.0900818,0.273808,0.0746085
1978112548,0.0989216,0.300719,0.0762032
1978123742,0.103225,0.314759,0.0625221
1978133343,0.0913748,0.291212,0.0504866
1978143742,0.0987177,0.326971,0.0467069
1978153349,0.0930948,0.318123,0.0516997
1978163742,0.0767773,0.408581,0.0897018
1978173469,0.0777259,0.330408,0.038703
1978184543,0.0777259,0.330408,0.038703
1978195742,0.0885404,0.335015,0.00345944
1978204545,0.0951273,0.345984,0.0137828
1978214321,0.0829052,0.315417,0.00868337
1978224542,0.0518326,0.365217,-0.0110674
1978245343,0.0358797,0.389568,-0.0464704
1978256549,0.0885569,0.349348,0.00315128
1978265350,0.0600844,0.40061,-0.0318019
1978276542,0.076562,0.358124,-0.0061866
1978286942,0.076562,0.358124,-0.0061866
1978296542,0.0726262,0.34752,0.000635613
1978306147,0.0969698,0.366753,-0.020589
1978316542,0.0667994,0.364924,-0.0238679
1978326266,0.0754244,0.363242,-0.0182659
1978336542,0.0705617,0.382767,-0.0274533
1978348713,0.0887124,0.371872,-0.0330499
1978357343,0.0887165,0.375455,-0.033127
1978368542,0.0821724,0.356222,-0.0109483
1978377342,0.0549779,0.36646,-0.0364427
1978386947,0.0761515,0.36295,-0.0318297
1978398143,0.0761515,0.36295,-0.0318297
1978409342,0.0639624,0.361049,-0.0375455
1978418144,0.0613541,0.35242,-0.022189
1978429342,0.0793396,0.35593,-0.0247029
1978438287,0.0686764,0.370263,-0.0255836
1978449342,0.0686764,0.370263,-0.0255836
1978458959,0.0943946,0.386789,-0.00584881
1978469369,0.091508,0.339915,-0.0186019
1978478960,0.055029,0.365363,-0.00409466
