timestamp,roll,pitch,yaw,thrust_body[0],thrust_body[1],thrust_body[2]
1961484419,-0.0255518,-0.445164,0.0808246,0.645563,0.0,0.0
1961505702,0.00386657,-0.4316,0.0727122,0.646866,0.0,0.0
1961524451,0.0251327,-0.419822,0.060621,0.646334,0.0,0.0
1961545737,0.0447709,-0.405839,0.0499464,0.646412,0.0,0.0
1961569895,0.061442,-0.390627,0.0409471,0.646082,0.0,0.0
1961594039,0.0607456,-0.378464,0.0418388,0.645938,0.0,0.0
1961618010,0.0461553,-0.366951,0.0489955,0.646194,0.0,0.0
1961641110,0.0267713,-0.356303,0.0583127,0.646178,0.0,0.0
1961660386,0.00989356,-0.351874,0.0659601,0.646227,0.0,0.0
1961681599,0.00444297,-0.346679,0.0682835,0.646227,0.0,0.0
1961705295,0.0135038,-0.347168,0.062896,0.645569,0.0,0.0
1961726668,0.0289725,-0.343984,0.0551523,0.645569,0.0,0.0
1961750615,0.0366368,-0.342429,0.0431742,0.643939,0.0,0.0
1961774862,0.0387101,-0.337223,0.0422775,0.642627,0.0,0.0
1961799234,0.0388732,-0.329806,0.0430111,0.641129,0.0,0.0
1961818030,0.0364069,-0.321652,0.0447519,0.639803,0.0,0.0
1961839314,0.0293925,-0.31659,0.0489583,0.638057,0.0,0.0
1961864294,0.0240971,-0.31227,0.0516743,0.636446,0.0,0.0
1961886701,0.0220256,-0.309847,0.0527386,0.634552,0.0,0.0
1961906057,0.0190049,-0.306463,0.0542287,0.63248,0.0,0.0
1961927247,0.0282242,-0.302738,0.0498172,0.630218,0.0,0.0
1961950743,0.0514037,-0.298563,0.039667,0.627438,0.0,0.0
1961974784,0.0640965,-0.295895,0.0343078,0.624515,0.0,0.0
1961998786,0.0380537,-0.293306,0.0387774,0.621746,0.0,0.0
1962018880,0.0301764,-0.290925,0.0422139,0.618375,0.0,0.0
1962040198,0.0269697,-0.295686,0.0436105,0.618375,0.0,0.0
1962059567,0.0150634,-0.289629,0.0483495,0.614947,0.0,0.0
1962080417,0.0110285,-0.282296,0.0499481,0.610953,0.0,0.0
1962104353,0.028293,-0.28173,0.0423421,0.60726,0.0,0.0
1962128427,0.0699331,-0.277984,0.025653,0.602687,0.0,0.0
1962147619,0.111993,-0.274678,0.00986045,0.598407,0.0,0.0
1962169147,0.144593,-0.268187,-0.00134733,0.59423,0.0,0.0
1962192865,0.16719,-0.262301,-0.00794777,0.590051,0.0,0.0
1962212848,0.180789,-0.254119,-0.011736,0.585907,0.0,0.0
1962233187,0.184174,-0.25884,-0.0130306,0.585907,0.0,0.0
1962252383,0.181807,-0.259637,-0.0102091,0.581933,0.0,0.0
1962273546,0.159131,-0.263761,-0.00671583,0.578188,0.0,0.0
1962297610,0.146329,-0.271206,-0.000418993,0.574267,0.0,0.0
1962321281,0.136386,-0.276092,0.00443268,0.570374,0.0,0.0
1962345670,0.123669,-0.280736,0.0100631,0.566832,0.0,0.0
1962364413,0.108955,-0.281358,0.0163851,0.562955,0.0,0.0
1962385156,0.0916937,-0.283603,0.023438,0.559245,0.0,0.0
1962406001,0.0778458,-0.286393,0.0293394,0.556195,0.0,0.0
1962430437,0.0646053,-0.291767,0.034801,0.552681,0.0,0.0
1962453958,0.0548715,-0.298908,0.039164,0.549535,0.0,0.0
1962473287,0.0521833,-0.304949,0.0405108,0.546572,0.0,0.0
1962494437,0.0565362,-0.317587,0.039339,0.546572,0.0,0.0
1962518479,0.0710214,-0.326916,0.033745,0.543652,0.0,0.0
1962542481,0.0820534,-0.333945,0.0294937,0.540689,0.0,0.0
1962566452,0.0666092,-0.33993,0.0292335,0.538258,0.0,0.0
1962590058,0.0615374,-0.344919,0.0314295,0.536003,0.0,0.0
1962609731,0.0657574,-0.342335,0.0294687,0.545189,0.0,0.0
1962629971,0.0770177,-0.341994,0.0246276,0.548089,0.0,0.0
1962650070,0.0913888,-0.318283,0.0186048,0.577841,0.0,0.0
1962673947,0.117613,-0.312211,0.00903307,0.580021,0.0,0.0
1962695363,0.141434,-0.290429,0.00026119,0.596929,0.0,0.0
1962714466,0.158725,-0.274418,-0.0052841,0.599653,0.0,0.0
1962735245,0.165666,-0.277867,-0.00790318,0.599653,0.0,0.0
1962758836,0.178048,-0.281914,-0.0113843,0.599305,0.0,0.0
1962782756,0.179603,-0.26466,-0.0113822,0.610533,0.0,0.0
1962803586,0.173701,-0.266774,-0.00783707,0.612727,0.0,0.0
1962822762,0.167678,-0.249719,-0.00490922,0.633584,0.0,0.0
1962844128,0.168002,-0.25622,-0.00417186,0.625143,0.0,0.0
1962863601,0.155259,-0.244535,-0.00475136,0.634704,0.0,0.0
1962887584,0.158575,-0.250134,-0.0048736,0.636619,0.0,0.0
1962908959,0.15627,-0.266758,-0.00289869,0.632904,0.0,0.0
1962927975,0.153372,-0.257766,-0.000840551,0.641305,0.0,0.0
1962949097,0.148921,-0.264526,0.000777067,0.641305,0.0,0.0
1962972841,0.149976,-0.275334,0.00144534,0.640608,0.0,0.0
1962996796,0.147763,-0.260363,0.00292704,0.651253,0.0,0.0
1963021315,0.129782,-0.270667,0.0108936,0.649936,0.0,0.0
1963045674,0.105928,-0.296533,0.0210662,0.642338,0.0,0.0
1963069593,0.0928852,-0.289427,0.0266116,0.650783,0.0,0.0
1963088341,0.0868926,-0.296816,0.030036,0.650544,0.0,0.0
1963109686,0.0729733,-0.288071,0.0352503,0.658294,0.0,0.0
1963133294,0.0579861,-0.296986,0.0414763,0.656787,0.0,0.0
1963157780,0.0498917,-0.288734,0.0443274,0.663962,0.0,0.0
1963176767,0.0641529,-0.295231,0.0394639,0.663973,0.0,0.0
1963197675,0.0715397,-0.2848,0.0301541,0.671279,0.0,0.0
1963221084,0.0963922,-0.298092,0.0217874,0.667331,0.0,0.0
1963240477,0.114327,-0.312943,0.0161709,0.660958,0.0,0.0
1963262662,0.1238,-0.314446,0.0126403,0.660958,0.0,0.0
1963286469,0.136435,-0.304967,0.00849837,0.666278,0.0,0.0
1963305146,0.138471,-0.310036,0.00875464,0.665359,0.0,0.0
1963329138,0.145908,-0.29792,0.00654159,0.671837,0.0,0.0
1963351179,0.15695,-0.306179,0.00291923,0.668946,0.0,0.0
1963375242,0.165181,-0.304599,0.000825389,0.671024,0.0,0.0
1963398724,0.165843,-0.2985,0.00169803,0.674889,0.0,0.0
1963417955,0.1705,-0.320374,0.00105219,0.665387,0.0,0.0
1963439267,0.181355,-0.305643,-0.00197434,0.673624,0.0,0.0
1963463591,0.203494,-0.325146,-0.00894944,0.665864,0.0,0.0
1963486796,0.235088,-0.305244,-0.0189895,0.675817,0.0,0.0
1963510850,0.258802,-0.307067,-0.0259402,0.675379,0.0,0.0
1963530451,0.266158,-0.300044,-0.0262733,0.67947,0.0,0.0
1963550675,0.264653,-0.296497,-0.025599,0.67947,0.0,0.0
1963574851,0.265628,-0.294706,-0.0238138,0.681246,0.0,0.0
1963594787,0.259633,-0.319507,-0.0206144,0.669576,0.0,0.0
1963618784,0.208803,-0.316543,-0.00556835,0.670524,0.0,0.0
1963640919,0.161538,-0.308259,0.0138863,0.67359,0.0,0.0
1963659551,0.105513,-0.305356,0.0362605,0.675737,0.0,0.0
1963681133,0.0512156,-0.312393,0.0579221,0.673734,0.0,0.0
