timestamp,states[0],states[1],states[2],states[3],states[4],states[5],states[6],states[7],states[8],states[9],states[10],states[11],states[12],states[13],states[14],states[15],states[16],states[17],states[18],states[19],states[20],states[21],states[22],states[23],vibe[0],vibe[1],vibe[2],covariances[0],covariances[1],covariances[2],covariances[3],covariances[4],covariances[5],covariances[6],covariances[7],covariances[8],covariances[9],covariances[10],covariances[11],covariances[12],covariances[13],covariances[14],covariances[15],covariances[16],covariances[17],covariances[18],covariances[19],covariances[20],covariances[21],covariances[22],covariances[23],control_mode_flags,pos_horiz_accuracy,pos_vert_accuracy,mag_test_ratio,vel_test_ratio,pos_test_ratio,hgt_test_ratio,tas_test_ratio,hagl_test_ratio,beta_test_ratio,time_slip,gps_check_fail_flags,filter_fault_flags,innovation_check_flags,solution_status_flags,n_states,pre_flt_fail_innov_heading,pre_flt_fail_innov_vel_horiz,pre_flt_fail_innov_vel_vert,pre_flt_fail_innov_height,health_flags,timeout_flags
2017170942,0.927713,-0.0915049,0.0709721,-0.354878,6.18127,2.63999,-1.25117,-56.6847,48.8858,-13.4307,-2.71175e-05,7.59374e-05,-2.7032e-05,0.00121928,-0.000201071,-0.00171147,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.69186,1.34999,3.29517e-06,0.000970684,0.0107996,6.7011e-06,6.08684e-06,5.66753e-06,4.66172e-05,0.0153534,0.0140928,0.00639016,0.0511469,0.0507481,0.0442625,1.18701e-11,1.19484e-11,2.24339e-11,5.00005e-08,5.00005e-08,5.00002e-08,3.45948e-06,2.17523e-06,8.14038e-06,2.29919e-06,2.52752e-06,6.22003e-06,0.0027932,0.00780855,9077735,0.31921,0.210386,6.54992,0.355697,0.0297124,0.0605255,0.28438,0.0478173,0.316875,0.075702,0,0,112,831,24,0,0,0,0,0,0
2017371742,0.928233,-0.0717124,0.0487554,-0.361751,5.75291,2.24074,-0.47635,-55.5221,49.3548,-13.7624,-2.70832e-05,7.58592e-05,-2.70748e-05,0.0012222,-0.000199687,-0.00171634,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.68459,1.36459,3.27569e-06,0.000961155,0.0106716,7.05197e-06,5.78473e-06,5.52938e-06,4.68998e-05,0.0144071,0.0135832,0.00623658,0.0510749,0.0506083,0.043983,1.18037e-11,1.18595e-11,2.24847e-11,5.00005e-08,5.00005e-08,5e-08,3.46093e-06,2.17632e-06,8.14195e-06,2.29921e-06,2.52754e-06,6.22004e-06,0.00278472,0.0078098,9077735,0.318878,0.209721,6.69263,0.12507,0.0274746,0.139633,0.123982,0.0478173,0.406496,0.075702,0,0,112,831,24,0,0,0,0,0,0
2017572542,0.952696,-0.0565422,0.0365071,-0.29638,5.52381,2.04485,0.561118,-54.3792,49.7767,-13.7271,-2.70401e-05,7.58857e-05,-2.70658e-05,0.00122332,-0.000194621,-0.00174066,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.67621,1.37025,3.15349e-06,0.000939548,0.00968326,4.83507e-06,5.61125e-06,5.43801e-06,4.97571e-05,0.013714,0.013143,0.00617938,0.0509659,0.0504567,0.0437578,1.17624e-11,1.18008e-11,2.25529e-11,5.00005e-08,5.00005e-08,5e-08,3.46243e-06,2.17745e-06,8.14356e-06,2.29923e-06,2.52756e-06,6.22005e-06,0.00277597,0.00782361,9077735,0.318469,0.209184,7.19502,0.38662,0.0252425,0.134803,0.298538,0.0478173,0.313873,0.075702,0,0,112,831,24,0,0,0,0,0,0
2017773367,0.955471,-0.117337,0.0292637,-0.269168,5.43059,1.7535,0.703906,-53.2699,50.1242,-13.7097,-2.67913e-05,7.59542e-05,-2.70828e-05,0.00122024,-0.000186875,-0.00173763,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.65281,1.3766,3.04368e-06,0.000959933,0.00953414,4.07475e-06,5.4382e-06,5.70055e-06,5.08537e-05,0.0137431,0.0133946,0.00619928,0.0508075,0.0502859,0.0435264,1.17252e-11,1.17479e-11,2.26289e-11,5.00005e-08,5.00004e-08,5e-08,3.46392e-06,2.17858e-06,8.14517e-06,2.29924e-06,2.52757e-06,6.22006e-06,0.00276741,0.00783959,9077735,0.317952,0.20863,6.25354,0.137423,0.0319161,0.123926,0.723277,0.0478173,0.260692,0.075702,0,0,112,831,24,0,0,0,0,0,0
2017970942,0.962006,-0.0498905,-0.00361156,-0.268407,5.54781,1.57542,0.760609,-52.1592,50.4367,-13.6279,-2.67229e-05,7.6058e-05,-2.70589e-05,0.00121727,-0.000184692,-0.00174736,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.61363,1.3837,2.62724e-06,0.0010263,0.00915191,4.11747e-06,5.27988e-06,5.32134e-06,5.18504e-05,0.0139557,0.0137055,0.00627458,0.0506212,0.0501164,0.0433036,1.16935e-11,1.17027e-11,2.27133e-11,5.00005e-08,5.00003e-08,5e-08,3.46541e-06,2.17971e-06,8.14678e-06,2.29926e-06,2.52759e-06,6.22007e-06,0.00275655,0.0078536,9077735,0.317392,0.208095,6.75248,0.178139,0.0334358,0.12869,0.777319,0.0478173,0.225887,0.075702,0,0,112,831,24,0,0,0,0,0,0
2018179742,0.960528,-0.0993586,-0.0170086,-0.259278,5.88931,1.0659,0.0498521,-50.9782,50.6943,-13.6985,-2.66263e-05,7.61188e-05,-2.70478e-05,0.00121511,-0.000182916,-0.00174525,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.57611,1.3845,3.04223e-06,0.00106952,0.00979008,3.91679e-06,5.14847e-06,5.4818e-06,5.2572e-05,0.0147257,0.0146016,0.00643387,0.0506886,0.0502307,0.0432004,1.16604e-11,1.16567e-11,2.28048e-11,5.00005e-08,5.00002e-08,5e-08,3.46693e-06,2.18087e-06,8.14841e-06,2.29928e-06,2.52761e-06,6.22009e-06,0.00274909,0.00787193,9077735,0.317678,0.207847,6.92428,0.0993568,0.035272,0.178311,0.904734,0.0478173,0.213937,0.075702,0,0,112,831,24,0,0,0,0,0,0
2018380542,0.955343,-0.175647,-0.00501048,-0.237576,5.99749,0.0384074,-0.54056,-49.7787,50.8231,-13.9039,-2.66398e-05,7.61267e-05,-2.70377e-05,0.00121622,-0.000186608,-0.00174318,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.53782,1.37678,4.26431e-06,0.00116717,0.0101232,3.40052e-06,4.99672e-06,6.2513e-06,5.29959e-05,0.0155134,0.0153285,0.00663354,0.0506207,0.0502563,0.0430125,1.16257e-11,1.1611e-11,2.28999e-11,5.00005e-08,5.00001e-08,5e-08,3.46842e-06,2.182e-06,8.15002e-06,2.2993e-06,2.52763e-06,6.2201e-06,0.00274165,0.00788918,9077735,0.317611,0.207395,5.88598,0.139873,0.0290607,0.191662,0.869047,0.0478173,0.173251,0.075702,0,0,112,831,24,0,0,0,0,0,0
2018582147,0.972581,-0.0665217,-0.0796887,-0.208114,6.08961,-1.50759,-2.39856,-48.5399,50.614,-14.3233,-2.6516e-05,7.63307e-05,-2.71237e-05,0.00121599,-0.000187385,-0.00173832,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.51148,1.36089,3.77449e-06,0.00114063,0.010818,2.72933e-06,5.10028e-06,5.06167e-06,5.51915e-05,0.0177146,0.0167083,0.00661887,0.0506606,0.0504279,0.0428636,1.15778e-11,1.15563e-11,2.29597e-11,5.00007e-08,5e-08,5e-08,3.46992e-06,2.18314e-06,8.15164e-06,2.29931e-06,2.52764e-06,6.22011e-06,0.00273612,0.00789568,9077735,0.317944,0.207035,7.22878,0.189057,0.0411146,0.0395423,0.372851,0.0478173,0.0761688,0.075702,0,0,120,831,24,0,0,0,0,0,0
2018782942,0.982425,-0.0142023,-0.0346985,-0.182856,6.29996,-1.70169,-3.41806,-47.2786,50.251,-14.8554,-2.63386e-05,7.64491e-05,-2.71183e-05,0.00121573,-0.000186929,-0.00173897,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.49647,1.34783,3.15339e-06,0.00117619,0.0126651,2.12423e-06,4.88397e-06,4.95302e-06,5.64586e-05,0.0183167,0.017338,0.00642055,0.0509035,0.0507684,0.0427042,1.153e-11,1.15038e-11,2.29976e-11,5.00006e-08,5.00006e-08,5.00006e-08,3.47142e-06,2.18427e-06,8.15325e-06,2.29933e-06,2.52766e-06,6.22012e-06,0.00273123,0.00789808,9077735,0.31886,0.20665,7.82689,0.0946056,0.0391664,0.0529854,0.397913,0.0478173,0.041428,0.075702,0,0,112,831,24,0,0,0,0,0,0
2018987742,0.975741,-0.0834325,0.0102398,-0.202148,6.11667,-1.63944,-2.19599,-45.9609,49.8821,-15.4309,-2.62379e-05,7.64966e-05,-2.70977e-05,0.00121567,-0.000186087,-0.00173858,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.47643,1.3309,2.86368e-06,0.00110015,0.0141515,2.52229e-06,4.84327e-06,4.90276e-06,5.65936e-05,0.0168887,0.0161013,0.00621512,0.0515228,0.0514311,0.0423397,1.14856e-11,1.14544e-11,2.30522e-11,5.00006e-08,5.00006e-08,5.00005e-08,3.47296e-06,2.1854e-06,8.15492e-06,2.29935e-06,2.52768e-06,6.22013e-06,0.00272423,0.00789972,9077735,0.320864,0.205766,7.71898,0.0476633,0.0317195,0.108102,0.528323,0.0478173,0.0503965,0.075702,0,0,112,831,24,0,0,0,0,0,0
2019185366,0.964689,-0.0282242,0.00121222,-0.261872,5.68964,-1.78033,-0.904702,-44.8008,49.5381,-15.6054,-2.61747e-05,7.64995e-05,-2.70831e-05,0.00121598,-0.000185436,-0.00175131,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.45208,1.3098,2.09716e-06,0.000849473,0.0123986,4.18782e-06,4.75074e-06,4.72884e-06,5.56587e-05,0.0157423,0.0150256,0.00609201,0.0514545,0.0513689,0.0421065,1.14523e-11,1.14181e-11,2.31024e-11,5.00006e-08,5.00006e-08,5.00002e-08,3.4744e-06,2.18648e-06,8.15648e-06,2.29936e-06,2.5277e-06,6.22014e-06,0.00271631,0.00789933,9077735,0.320661,0.205199,8.25471,0.304299,0.0249071,0.150603,0.608521,0.0478173,0.0705656,0.075702,0,0,112,831,24,0,0,0,0,0,0
2019394142,0.958305,0.0484591,-0.0282993,-0.280184,5.61693,-1.60923,-0.230741,-43.6354,49.1879,-15.6051,-2.61965e-05,7.65147e-05,-2.70821e-05,0.0012163,-0.000186551,-0.00176408,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.42659,1.28901,1.46679e-06,0.000729195,0.0119675,4.93896e-06,4.60816e-06,5.13567e-06,5.51954e-05,0.0150722,0.0146221,0.00605261,0.05172,0.05162,0.0420803,1.14388e-11,1.14032e-11,2.31577e-11,5.00006e-08,5.00006e-08,5.00001e-08,3.47591e-06,2.18763e-06,8.15811e-06,2.29938e-06,2.52771e-06,6.22016e-06,0.00270884,0.00789732,9077735,0.321465,0.205135,8.35802,0.213039,0.0233252,0.0634623,0.630769,0.0478173,0.104267,0.075702,0,0,112,831,24,0,0,0,0,0,0
2019594942,0.961465,0.0295338,-0.041233,-0.270209,5.80293,-1.11993,0.412398,-42.4769,48.9033,-15.5404,-2.6173e-05,7.65808e-05,-2.71178e-05,0.00121468,-0.000186076,-0.00177318,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.40855,1.27631,1.81208e-06,0.000994855,0.0137697,4.66875e-06,4.55609e-06,4.91705e-06,5.63338e-05,0.0143592,0.0141905,0.00601542,0.05176,0.0516477,0.0415271,1.14304e-11,1.13925e-11,2.32305e-11,5.00006e-08,5.00006e-08,5e-08,3.4774e-06,2.18875e-06,8.15972e-06,2.2994e-06,2.52773e-06,6.22017e-06,0.00270068,0.00790085,9077735,0.321571,0.203782,8.23833,0.11411,0.0227855,0.00142421,0.237457,0.0478173,0.106387,0.075702,0,0,112,831,24,0,0,0,0,0,0
2019795745,0.956737,-0.0106299,-0.0304364,-0.289162,5.85074,-1.08896,-0.224393,-41.3023,48.6822,-15.4122,-2.61502e-05,7.66204e-05,-2.71451e-05,0.00121264,-0.000185901,-0.00179349,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.40984,1.27791,2.1063e-06,0.00116385,0.0153769,5.32807e-06,4.51525e-06,4.62203e-06,5.6701e-05,0.0149032,0.014795,0.00613156,0.0517793,0.0516629,0.0414499,1.14311e-11,1.13897e-11,2.33221e-11,5.00006e-08,5.00006e-08,5e-08,3.47891e-06,2.18989e-06,8.16134e-06,2.29942e-06,2.52775e-06,6.22018e-06,0.00269034,0.00790706,9077735,0.321624,0.203593,8.09833,0.24224,0.00325839,0.00527659,0.207418,0.0478173,0.127448,0.075702,0,0,112,831,24,0,0,0,0,0,0
2019997342,0.966558,-0.068132,-0.00802448,-0.247102,5.58626,-1.45083,-0.210528,-40.1464,48.4293,-15.4839,-2.61441e-05,7.66515e-05,-2.71549e-05,0.00121125,-0.000185212,-0.00178589,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.41847,1.28546,1.94033e-06,0.000904013,0.0127338,3.93628e-06,4.47537e-06,4.50708e-06,5.89291e-05,0.0150285,0.0149358,0.00628835,0.05182,0.0517015,0.0413913,1.14234e-11,1.13782e-11,2.34125e-11,5.00006e-08,5.00006e-08,5e-08,3.48039e-06,2.19101e-06,8.16294e-06,2.29943e-06,2.52776e-06,6.22019e-06,0.00268263,0.0079104,9077735,0.321748,0.203448,7.79399,0.0868439,0.00387038,0.0795056,0.183871,0.0478173,0.105647,0.075702,0,0,112,831,24,0,0,0,0,0,0
2020202142,0.984309,0.0251558,-0.0134061,-0.174135,5.37838,-1.47751,0.362446,-38.989,48.125,-15.3911,-2.62209e-05,7.66696e-05,-2.71589e-05,0.0012107,-0.000190172,-0.00180735,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.41529,1.28339,1.44469e-06,0.000691536,0.00986971,2.09302e-06,4.4299e-06,4.82168e-06,6.12413e-05,0.0148044,0.0148242,0.0064643,0.0523024,0.0521815,0.0415313,1.14286e-11,1.13814e-11,2.35008e-11,5.00007e-08,5.00007e-08,5.00001e-08,3.48196e-06,2.19221e-06,8.16462e-06,2.29945e-06,2.52778e-06,6.22021e-06,0.00267655,0.00791402,9077735,0.32324,0.203792,8.4429,0.152669,0.0171336,0.0709062,0.379741,0.0478173,0.0446074,0.075702,0,0,112,831,24,0,0,0,0,0,0
2020403742,0.988975,0.047467,-0.0217413,-0.138574,5.3734,-1.11202,0.344465,-37.9432,47.8637,-15.1877,-2.6143e-05,7.66317e-05,-2.71782e-05,0.00121164,-0.000187066,-0.00185228,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.39275,1.26787,1.02135e-06,0.00056074,0.0079004,1.42988e-06,4.37022e-06,5.04371e-06,6.2416e-05,0.0148605,0.014956,0.00662701,0.0522584,0.0521501,0.041428,1.1428e-11,1.13788e-11,2.35799e-11,5.00006e-08,5.00006e-08,5e-08,3.4834e-06,2.19328e-06,8.16618e-06,2.29947e-06,2.5278e-06,6.22022e-06,0.00266907,0.00791827,9077735,0.323123,0.203539,8.74553,0.3169,0.0153818,0.159346,0.585199,0.0478173,0.0212427,0.075702,0,0,96,831,24,0,0,0,0,0,0
2020604563,0.991389,0.00840044,-0.0208183,-0.129009,5.39532,-0.685135,0.73793,-36.8858,47.6934,-15.0077,-2.60992e-05,7.64863e-05,-2.71762e-05,0.00121944,-0.000185043,-0.00188485,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.37191,1.25712,1.95152e-06,0.000784342,0.0095275,1.25817e-06,4.34659e-06,4.62027e-06,6.37549e-05,0.0147907,0.0148063,0.00680746,0.0524373,0.0523519,0.0414472,1.14371e-11,1.13838e-11,2.3673e-11,5.00006e-08,5.00006e-08,5e-08,3.48492e-06,2.19448e-06,8.1678e-06,2.29948e-06,2.52782e-06,6.22023e-06,0.00265977,0.00792482,9077735,0.323712,0.203586,8.33139,0.205856,0.0214898,0.150042,0.392215,0.0478173,0.0202479,0.075702,0,0,96,831,24,0,0,0,0,0,0
2020805342,0.981353,0.064906,-0.036093,-0.177288,5.74385,0.0624048,0.114563,-35.7755,47.6283,-14.8323,-2.61706e-05,7.64634e-05,-2.71575e-05,0.00121943,-0.000185042,-0.00188514,0.405681,0.183791,-0.746955,0.0070676,0.0215316,0.0260031,-4.3664,1.25527,2.54709e-06,0.000975076,0.0121684,2.29698e-06,4.32205e-06,5.2111e-06,6.3012e-05,0.015467,0.0149851,0.00667404,0.0526628,0.0525985,0.0414933,1.14491e-11,1.13907e-11,2.37645e-11,5.0001e-08,5.00011e-08,5.00002e-08,3.48641e-06,2.1956e-06,8.16941e-06,2.2995e-06,2.52783e-06,6.22024e-06,0.0026523,0.00793687,9077735,0.32444,0.203699,8.2098,0.2611,0.0201076,0.0815671,0.056709,0.0478173,0.0475449,0.075702,0,0,96,831,24,0,0,0,0,0,0
