timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
1965897355,-20,32767,32767,32767,-60,32767,32767
1965901344,32767,32767,32767,32767,32767,32767,32767
1965905342,32767,32767,32767,32767,-38,-64,32767
1965909460,-34,32767,32767,32767,32767,32767,32767
1965913342,32767,32767,32767,32767,32767,-39,32767
1965917342,-1,32767,32767,32767,32767,32767,32767
1965921342,32767,32767,32767,32767,32767,32767,32767
1965925460,32767,32767,32767,32767,-38,-65,32767
1965929353,-12,32767,32767,32767,32767,32767,32767
1965933342,32767,32767,32767,32767,32767,32767,32767
1965937342,32767,32767,32767,32767,-56,-70,32767
1965941342,-21,32767,32767,32767,32767,32767,32767
1965945342,32767,32767,32767,32767,32767,-40,32767
1965950148,-1,32767,32767,32767,-84,32767,32767
1965954149,32767,32767,32767,32767,32767,-40,32767
1965958144,32767,32767,32767,32767,32767,32767,32767
1965962142,-6,32767,32767,32767,32767,32767,32767
1965966142,32767,32767,32767,32767,-42,-63,32767
1965970144,32767,32767,32767,32767,32767,32767,32767
1965974155,-17,32767,32767,32767,32767,-40,32767
1965978276,32767,32767,32767,32767,-62,32767,32767
1965982171,32767,32767,32767,32767,32767,32767,32767
1965986142,-28,32767,32767,32767,-40,32767,32767
1965990146,32767,32767,32767,32767,32767,32767,32767
1965994942,-5,32767,32767,32767,32767,32767,32767
1965998942,32767,32767,32767,32767,32767,-80,32767
1966002955,32767,32767,32767,32767,32767,32767,32767
1966006945,-14,32767,32767,32767,-46,-62,32767
1966010942,32767,32767,32767,32767,32767,32767,32767
1966014942,32767,32767,32767,32767,32767,-40,32767
1966018972,-25,32767,32767,32767,-66,32767,32767
1966022942,32767,32767,-49,32767,32767,32767,32767
1966026967,3,32767,32767,32767,-45,-48,32767
1966030942,32767,32767,32767,32767,32767,32767,32767
1966034942,32767,32767,32767,32767,32767,-40,32767
1966038942,-9,32767,32767,32767,32767,32767,32767
1966042942,32767,32767,32767,32767,32767,32767,32767
1966046957,32767,32767,32767,32767,-44,-48,32767
1966050947,-21,32767,32767,32767,32767,32767,32767
1966054942,32767,32767,32767,32767,32767,32767,32767
1966058942,32767,32767,32767,32767,-62,-72,32767
1966062942,-29,32767,32767,32767,32767,32767,32767
1966066942,32767,32767,32767,32767,-42,-47,32767
1966071135,-3,32767,32767,32767,32767,32767,32767
1966074942,32767,32767,32767,32767,32767,32767,32767
1966078944,32767,32767,32767,32767,32767,-72,32767
1966082952,-6,32767,32767,32767,32767,32767,32767
1966086942,32767,32767,32767,32767,-41,-40,32767
1966090946,32767,32767,32767,32767,32767,32767,32767
1966094942,-17,32767,32767,32767,32767,32767,32767
1966098942,32767,32767,32767,32767,-60,-48,32767
1966102942,32767,32767,32767,32767,32767,32767,32767
1966106942,-28,32767,32767,32767,-38,-40,32767
1966111099,32767,32767,32767,32767,32767,32767,32767
1966114956,0,32767,32767,32767,32767,32767,32767
1966118942,32767,32767,32767,32767,32767,-64,32767
1966122976,32767,32767,32767,32767,32767,32767,32767
1966126942,-6,32767,32767,32767,-37,-40,32767
1966130942,32767,32767,32767,32767,32767,32767,32767
1966134942,32767,32767,32767,32767,32767,32767,32767
1966138942,-14,32767,32767,32767,-55,-64,32767
1966142942,32767,32767,32767,32767,32767,32767,32767
1966147747,32767,32767,32767,32767,32767,32767,32767
1966151742,-32,32767,32767,32767,-82,-79,32767
1966155742,32767,32767,32767,32767,32767,32767,32767
1966159749,3,32767,32767,32767,32767,-48,32767
1966163761,32767,32767,32767,32767,32767,32767,32767
1966167742,32767,32767,32767,32767,-41,-40,32767
1966171757,-9,32767,32767,32767,32767,32767,32767
1966175742,32767,32767,32767,32767,32767,32767,32767
1966179742,32767,32767,32767,32767,-60,-54,32767
1966183742,-20,32767,32767,32767,32767,32767,32767
1966187742,32767,32767,32767,32767,-38,-40,32767
1966191746,32767,32767,32767,32767,32767,32767,32767
1966195769,-30,32767,32767,32767,32767,32767,32767
1966199742,32767,32767,32767,32767,32767,-48,32767
1966203742,-2,32767,32767,32767,32767,32767,32767
1966207742,32767,32767,32767,32767,-37,32767,32767
1966211766,32767,32767,32767,32767,32767,-72,32767
1966215748,-11,32767,32767,32767,32767,32767,32767
1966219742,32767,32767,32767,32767,-54,-48,32767
1966223743,32767,32767,-81,32767,32767,32767,32767
1966227742,-21,32767,32767,32767,32767,32767,32767
1966231755,32767,32767,32767,32767,-73,-72,32767
1966235746,32767,32767,32767,32767,32767,32767,32767
1966239742,-29,32767,32767,32767,32767,-48,32767
1966243742,32767,32767,32767,32767,32767,32767,32767
1966247770,3,32767,32767,32767,32767,32767,32767
1966251742,32767,32767,32767,32767,-72,-62,32767
1966255742,32767,32767,32767,32767,32767,32767,32767
1966259742,-9,32767,32767,32767,-52,-40,32767
1966263745,32767,32767,32767,32767,32767,32767,32767
1966267742,32767,32767,32767,32767,32767,32767,32767
1966271742,-20,32767,32767,32767,-70,-64,32767
1966275752,32767,32767,32767,32767,32767,32767,32767
1966279742,32767,32767,32767,32767,32767,-40,32767
1966283742,-29,32767,32767,32767,32767,32767,32767
1966287742,32767,32767,32767,32767,32767,32767,32767
1966291742,-1,32767,32767,32767,-69,-64,32767
1966295766,32767,32767,32767,32767,32767,32767,32767
1966299769,32767,32767,32767,32767,-48,32767,32767
1966303745,-12,32767,32767,32767,32767,-72,32767
1966307742,32767,32767,32767,32767,32767,32767,32767
1966311742,32767,32767,32767,32767,-68,-40,32767
1966315742,-21,32767,32767,32767,32767,32767,32767
1966319742,32767,32767,32767,32767,32767,32767,32767
1966323742,32767,32767,32767,32767,32767,-72,32767
1966327742,-30,32767,32767,32767,32767,32767,32767
1966331748,32767,32767,32767,32767,-66,-40,32767
1966335742,-1,32767,32767,32767,32767,32767,32767
1966339742,32767,32767,32767,32767,-45,32767,32767
1966343742,32767,32767,32767,32767,32767,-72,32767
1966347742,-13,32767,32767,32767,32767,32767,32767
1966351768,32767,32767,32767,32767,-64,-40,32767
1966355742,32767,32767,32767,32767,32767,32767,32767
1966359748,-21,32767,32767,32767,32767,32767,32767
1966364542,32767,32767,32767,32767,32767,-72,32767
1966368544,0,32767,32767,32767,32767,32767,32767
1966372569,32767,32767,32767,32767,-70,-48,32767
1966376557,32767,32767,32767,32767,32767,32767,32767
1966380542,-6,32767,32767,32767,-49,32767,32767
1966384542,32767,32767,32767,32767,32767,-72,32767
1966388542,32767,32767,32767,32767,32767,32767,32767
1966392542,-14,32767,32767,32767,-69,-48,32767
1966396575,32767,32767,32767,32767,32767,32767,32767
1966400542,32767,32767,32767,32767,32767,32767,32767
1966404542,-25,32767,32767,32767,32767,-72,32767
1966408542,32767,32767,32767,32767,32767,32767,32767
1966412542,4,32767,32767,32767,-68,-40,32767
1966416542,32767,32767,32767,32767,32767,32767,32767
1966420542,32767,32767,-53,32767,-47,32767,32767
1966424565,-5,32767,32767,32767,32767,-48,32767
1966428542,32767,32767,32767,32767,32767,32767,32767
