timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1818427889,-7.01803,-6.92822,6.7342,1.0
1818438623,-7.0059,-6.91604,6.72277,1.0
1818449699,-6.99181,-6.90218,6.72991,1.0
1818460517,-6.97527,-6.88568,6.71848,1.0
1818471719,-6.95762,-6.86826,6.71848,1.0
1818482639,-6.9402,-6.85163,6.77565,1.0
1818493719,-6.92324,-6.83422,6.71848,1.0
1818504466,-6.90756,-6.81891,6.7099,1.0
1818515349,-6.89357,-6.80553,6.74563,1.0
1818526400,-6.88068,-6.79245,6.72419,1.0
1818537270,-6.86902,-6.78087,6.71848,1.0
1818548260,-6.85801,-6.76993,6.72419,1.0
1818559160,-6.84663,-6.75878,6.73134,1.0
1818570111,-6.83479,-6.74722,6.72848,1.0
1818581005,-6.82177,-6.73432,6.72419,1.0
1818592027,-6.80795,-6.72058,6.71848,1.0
1818603165,-6.79474,-6.70809,6.77279,1.0
1818614126,-6.78176,-6.69545,6.77422,1.0
1818624973,-6.76835,-6.68206,6.77565,1.0
1818636022,-6.75434,-6.66761,6.72277,1.0
1818646913,-6.7403,-6.65368,6.71991,1.0
1818657742,-6.72703,-6.64055,6.71705,1.0
1818668730,-6.7137,-6.62756,6.72277,1.0
1818679643,-6.69861,-6.61261,6.71848,1.0
1818690489,-6.6812,-6.59539,6.71562,1.0
1818701245,-6.66366,-6.57819,6.71419,1.0
1818712063,-6.64707,-6.56249,6.78279,1.0
1818723257,-6.62922,-6.54446,6.75707,1.0
1818734423,-6.60878,-6.524,6.72134,1.0
1818745296,-6.58638,-6.50185,6.72419,1.0
1818756122,-6.56272,-6.47847,6.72134,1.0
1818767152,-6.5381,-6.45416,6.71848,1.0
1818778106,-6.51363,-6.43013,6.72705,1.0
1818788957,-6.48923,-6.40602,6.72705,1.0
1818800005,-6.46417,-6.38114,6.71562,1.0
1818811164,-6.43981,-6.35703,6.71562,1.0
1818821987,-6.41729,-6.33477,6.71276,1.0
1818833007,-6.3959,-6.31432,6.77136,1.0
1818844042,-6.37419,-6.29285,6.77136,1.0
1818854817,-6.35215,-6.27063,6.72419,1.0
1818865770,-6.33118,-6.24992,6.72134,1.0
1818876814,-6.31197,-6.23094,6.71848,1.0
1818887701,-6.2936,-6.2128,6.72419,1.0
1818898520,-6.2741,-6.19359,6.72562,1.0
1818909270,-6.25274,-6.17242,6.71705,1.0
1818920206,-6.23095,-6.1509,6.71705,1.0
1818931230,-6.21069,-6.13116,6.72848,1.0
1818942330,-6.19288,-6.11386,6.77708,1.0
1818953287,-6.17673,-6.09819,6.78851,1.0
1818964279,-6.16113,-6.08211,6.72562,1.0
1818975213,-6.14763,-6.06864,6.72419,1.0
1818986099,-6.13797,-6.05905,6.71848,1.0
1818996912,-6.13099,-6.05222,6.72419,1.0
1819007675,-6.12446,-6.04586,6.72705,1.0
1819018621,-6.11834,-6.03966,6.71705,1.0
1819029598,-6.11383,-6.03528,6.71562,1.0
1819040491,-6.11001,-6.0315,6.71562,1.0
1819051401,-6.10696,-6.02837,6.70704,1.0
1819062151,-6.10597,-6.02799,6.76564,1.0
1819072984,-6.1061,-6.02759,6.71276,1.0
1819084042,-6.10493,-6.02651,6.71991,1.0
1819094923,-6.10112,-6.02269,6.72562,1.0
1819105816,-6.09561,-6.01756,6.72991,1.0
1819116736,-6.09033,-6.01233,6.72848,1.0
1819127591,-6.08638,-6.00823,6.71562,1.0
1819138616,-6.08397,-6.00574,6.71848,1.0
1819149724,-6.08308,-6.00506,6.71705,1.0
1819160790,-6.08358,-6.00553,6.71562,1.0
1819171712,-6.08461,-6.00711,6.77422,1.0
1819182533,-6.08446,-6.00699,6.78136,1.0
1819193562,-6.08303,-6.00509,6.72705,1.0
1819204415,-6.08185,-6.00387,6.72277,1.0
1819215406,-6.08181,-6.00374,6.71705,1.0
1819226463,-6.08268,-6.00477,6.74135,1.0
1819237587,-6.08406,-6.00592,6.72134,1.0
1819248516,-6.08591,-6.00802,6.73563,1.0
1819259379,-6.08825,-6.00996,6.72134,1.0
1819270463,-6.09036,-6.01208,6.71276,1.0
1819281632,-6.0917,-6.01343,6.71562,1.0
1819292427,-6.09259,-6.01465,6.76993,1.0
1819303338,-6.09248,-6.0149,6.77565,1.0
1819314398,-6.09154,-6.01398,6.77565,1.0
1819325242,-6.09248,-6.01427,6.71705,1.0
1819336169,-6.09746,-6.01933,6.72705,1.0
1819347249,-6.10654,-6.02838,6.72705,1.0
1819358387,-6.11924,-6.04082,6.71848,1.0
1819369298,-6.13527,-6.05644,6.72134,1.0
1819380458,-6.15415,-6.07514,6.72705,1.0
1819391358,-6.17546,-6.09609,6.71276,1.0
1819402093,-6.19932,-6.12025,6.7685,1.0
1819412920,-6.22394,-6.1447,6.77708,1.0
1819424039,-6.2471,-6.16697,6.71419,1.0
1819434924,-6.26935,-6.18897,6.71991,1.0
1819446115,-6.29125,-6.21065,6.72562,1.0
1819456987,-6.31347,-6.23243,6.71991,1.0
1819468039,-6.33682,-6.25554,6.72277,1.0
1819479237,-6.36109,-6.27938,6.71705,1.0
1819490381,-6.38617,-6.30413,6.71705,1.0
1819501247,-6.4119,-6.32948,6.71562,1.0
1819512109,-6.43809,-6.3554,6.71562,1.0
1819523154,-6.46374,-6.38148,6.78279,1.0
1819533987,-6.48624,-6.40367,6.77708,1.0
1819544943,-6.50521,-6.42233,6.77136,1.0
1819555993,-6.52442,-6.44062,6.72134,1.0
1819566896,-6.546,-6.46184,6.71419,1.0
1819577729,-6.56767,-6.48328,6.71848,1.0
1819588469,-6.58663,-6.50207,6.71848,1.0
1819600001,-6.60217,-6.51736,6.71705,1.0
1819611217,-6.61465,-6.52963,6.71276,1.0
1819622097,-6.62524,-6.5401,6.71991,1.0
1819633582,-6.635,-6.5506,6.77708,1.0
1819644466,-6.64324,-6.55801,6.71562,1.0
1819655353,-6.64915,-6.56383,6.71419,1.0
1819666124,-6.65373,-6.56817,6.71276,1.0
1819677592,-6.65885,-6.57332,6.71562,1.0
1819688469,-6.66522,-6.57963,6.71705,1.0
1819699280,-6.67172,-6.58605,6.71991,1.0
1819710087,-6.67647,-6.5907,6.71991,1.0
1819720885,-6.67867,-6.59286,6.72419,1.0
1819731657,-6.67857,-6.59266,6.71562,1.0
1819742568,-6.67645,-6.59083,6.72419,1.0
1819753774,-6.67241,-6.5869,6.72562,1.0
1819764760,-6.66662,-6.58109,6.71848,1.0
1819775624,-6.65844,-6.57296,6.72705,1.0
1819786644,-6.64717,-6.56183,6.72705,1.0
1819797676,-6.63403,-6.54893,6.71991,1.0
1819808795,-6.62032,-6.53538,6.71848,1.0
1819819974,-6.6072,-6.52237,6.71562,1.0
1819830867,-6.59657,-6.51181,6.71276,1.0
1819841646,-6.58923,-6.50453,6.71276,1.0
1819852455,-6.58489,-6.50028,6.71562,1.0
1819863402,-6.5825,-6.49858,6.77279,1.0
1819874157,-6.58045,-6.49653,6.77279,1.0
1819885579,-6.57769,-6.49327,6.72705,1.0
1819896486,-6.57312,-6.48915,6.77136,1.0
1819907281,-6.56621,-6.48186,6.71705,1.0
1819918106,-6.55799,-6.47403,6.71991,1.0
1819929635,-6.54924,-6.46537,6.71705,1.0
1819940483,-6.54017,-6.45598,6.71276,1.0
1819951326,-6.53096,-6.44707,6.71562,1.0
1819962369,-6.52166,-6.43785,6.71419,1.0
1819973540,-6.51228,-6.42864,6.71848,1.0
1819984424,-6.50371,-6.42013,6.71705,1.0
1819995360,-6.49679,-6.41348,6.71562,1.0
1820006448,-6.49053,-6.40733,6.71848,1.0
1820017316,-6.48395,-6.40071,6.71848,1.0
1820028197,-6.47708,-6.39402,6.71848,1.0
1820039272,-6.47002,-6.38708,6.71562,1.0
1820050425,-6.46295,-6.38005,6.71133,1.0
1820061624,-6.45688,-6.37399,6.71705,1.0
1820072437,-6.4526,-6.36963,6.71276,1.0
1820083954,-6.45088,-6.36804,6.71419,1.0
1820094876,-6.4524,-6.36936,6.71276,1.0
1820105748,-6.45592,-6.37286,6.71419,1.0
1820116524,-6.46112,-6.37807,6.72134,1.0
1820127962,-6.46756,-6.38446,6.72419,1.0
1820138917,-6.47321,-6.39002,6.71705,1.0
1820149723,-6.47736,-6.39401,6.71848,1.0
1820160484,-6.48028,-6.39713,6.71133,1.0
1820171318,-6.48305,-6.39994,6.71848,1.0
1820182091,-6.48647,-6.40309,6.71848,1.0
1820192970,-6.49042,-6.40713,6.71419,1.0
1820204083,-6.4958,-6.41243,6.71562,1.0
1820215146,-6.5026,-6.4197,6.77565,1.0
1820226096,-6.5092,-6.42616,6.76993,1.0
1820237269,-6.51495,-6.43202,6.77279,1.0
1820248156,-6.52061,-6.43695,6.71562,1.0
1820259207,-6.52757,-6.44357,6.71276,1.0
1820270444,-6.53626,-6.45248,6.72705,1.0
1820281301,-6.54621,-6.46216,6.72134,1.0
1820292076,-6.55726,-6.473,6.71562,1.0
1820302872,-6.57034,-6.48603,6.71419,1.0
1820313812,-6.58704,-6.50231,6.71276,1.0
1820324822,-6.60625,-6.52209,6.76993,1.0
