timestamp,rollspeed_integ,pitchspeed_integ,yawspeed_integ,additional_integ1
1964287520,0.092421,-0.259407,0.0399459,0.0
1964489104,0.0996858,-0.265661,0.0419266,0.0
1964688328,0.119064,-0.268706,0.0380492,0.0
1964894058,0.121246,-0.275365,0.0474247,0.0
1965094894,0.116399,-0.282416,0.0552107,0.0
1965296960,0.112737,-0.286843,0.0547838,0.0
1965496392,0.114243,-0.291796,0.055075,0.0
1965701999,0.116727,-0.296696,0.053248,0.0
1965903354,0.130852,-0.301914,0.0557534,0.0
1966104485,0.130037,-0.303183,0.0505616,0.0
1966304489,0.12403,-0.308909,0.0565263,0.0
1966510721,0.124144,-0.315734,0.0571266,0.0
1966711309,0.126996,-0.320378,0.0564007,0.0
1966912789,0.127125,-0.324587,0.0586625,0.0
1967113624,0.118925,-0.329795,0.0679296,0.0
1967315529,0.130227,-0.332831,0.0727556,0.0
1967516143,0.138281,-0.334551,0.0733027,0.0
1967715622,0.148359,-0.335612,0.0804597,0.0
1967921595,0.147517,-0.339232,0.0790872,0.0
1968121187,0.14265,-0.342871,0.0793745,0.0
1968328003,0.142436,-0.345919,0.0760964,0.0
1968529566,0.139031,-0.350617,0.0818276,0.0
1968732356,0.146332,-0.354133,0.0826114,0.0
1968933242,0.137828,-0.356135,0.0837094,0.0
1969136431,0.150699,-0.358025,0.0877892,0.0
1969337708,0.154937,-0.35694,0.0768664,0.0
1969541141,0.148776,-0.357547,0.0736281,0.0
1969741987,0.157194,-0.357692,0.0758001,0.0
1969949098,0.154506,-0.360345,0.0743073,0.0
1970148440,0.153429,-0.363207,0.0764973,0.0
1970349977,0.151244,-0.36599,0.0733673,0.0
1970550853,0.144735,-0.371106,0.0808127,0.0
1970755626,0.152801,-0.375501,0.0906514,0.0
1970956425,0.152862,-0.376024,0.0945354,0.0
1971161928,0.145332,-0.376143,0.0986326,0.0
1971362747,0.146244,-0.378934,0.0999465,0.0
1971568373,0.140788,-0.381731,0.102123,0.0
1971769259,0.132853,-0.385748,0.111062,0.0
1971973284,0.138996,-0.38772,0.10996,0.0
1972174101,0.136351,-0.389545,0.107926,0.0
1972376468,0.14431,-0.394374,0.108042,0.0
1972577079,0.139156,-0.396824,0.108041,0.0
1972783194,0.138756,-0.398473,0.111802,0.0
1972984415,0.13768,-0.4,0.109595,0.0
1973187531,0.133485,-0.4,0.108319,0.0
1973388320,0.134817,-0.4,0.116321,0.0
1973594147,0.136695,-0.4,0.129467,0.0
1973795697,0.147852,-0.4,0.133502,0.0
1973999697,0.144083,-0.4,0.131747,0.0
1974200422,0.143801,-0.4,0.134301,0.0
1974405161,0.148198,-0.4,0.131737,0.0
1974607724,0.151394,-0.4,0.128124,0.0
1974809266,0.140872,-0.4,0.127809,0.0
1975013807,0.143287,-0.4,0.132428,0.0
1975215395,0.148761,-0.399995,0.131461,0.0
1975414817,0.142859,-0.399304,0.14027,0.0
1975621643,0.142133,-0.4,0.143281,0.0
1975821213,0.135116,-0.398716,0.143023,0.0
1976026506,0.116,-0.4,0.15495,0.0
1976227546,0.108877,-0.4,0.161887,0.0
1976429603,0.104236,-0.4,0.167458,0.0
1976630471,0.0935985,-0.4,0.169787,0.0
1976831249,0.10162,-0.4,0.176471,0.0
1977032939,0.0902664,-0.4,0.179463,0.0
1977233006,0.107264,-0.399919,0.18333,0.0
1977437995,0.132906,-0.4,0.175693,0.0
1977638720,0.116444,-0.4,0.194184,0.0
1977845517,0.105995,-0.4,0.2,0.0
1978045794,0.109008,-0.4,0.198146,0.0
1978246609,0.0998311,-0.4,0.194016,0.0
1978446758,0.0965119,-0.4,0.194254,0.0
1978648896,0.0956015,-0.4,0.2,0.0
1978848298,0.0990477,-0.4,0.196764,0.0
1979054603,0.0929549,-0.4,0.193878,0.0
1979255612,0.0772739,-0.4,0.2,0.0
1979459933,0.0749157,-0.4,0.192115,0.0
1979662707,0.0580826,-0.4,0.2,0.0
1979863700,0.0662943,-0.4,0.2,0.0
1980066020,0.0696346,-0.4,0.2,0.0
1980268500,0.0666826,-0.4,0.199303,0.0
1980470451,0.0679037,-0.4,0.194209,0.0
1980671469,0.0533507,-0.4,0.2,0.0
1980871515,0.0591544,-0.4,0.2,0.0
1981071536,0.0716894,-0.4,0.2,0.0
1981278849,0.0832312,-0.4,0.199325,0.0
1981479244,0.084134,-0.4,0.19877,0.0
1981679690,0.078477,-0.4,0.199009,0.0
1981880445,0.074583,-0.4,0.2,0.0
1982084452,0.0924416,-0.399893,0.196545,0.0
1982286688,0.0832579,-0.4,0.19456,0.0
1982492125,0.0918055,-0.4,0.19905,0.0
1982692466,0.0901161,-0.4,0.198747,0.0
1982896455,0.0821606,-0.398383,0.195186,0.0
1983097965,0.0701824,-0.4,0.2,0.0
1983303490,0.0716293,-0.399789,0.2,0.0
1983504459,0.0723586,-0.4,0.199904,0.0
1983710369,0.0572076,-0.4,0.194851,0.0
1983911370,0.0632825,-0.4,0.192619,0.0
1984112905,0.0601086,-0.4,0.190803,0.0
1984312348,0.0647802,-0.4,0.19056,0.0
1984518404,0.0741354,-0.4,0.191168,0.0
1984718724,0.0779892,-0.4,0.194939,0.0
1984920468,0.0806458,-0.4,0.2,0.0
1985121617,0.0869381,-0.4,0.199954,0.0
1985326619,0.0855003,-0.4,0.2,0.0
1985527203,0.0911307,-0.4,0.199646,0.0
1985728138,0.0858594,-0.4,0.2,0.0
1985929819,0.0944058,-0.4,0.2,0.0
1986129232,0.10577,-0.4,0.199159,0.0
1986335205,0.10565,-0.4,0.2,0.0
1986535668,0.104552,-0.4,0.197112,0.0
1986741783,0.106637,-0.4,0.192084,0.0
1986942526,0.115712,-0.4,0.191586,0.0
1987143611,0.106213,-0.4,0.2,0.0
1987343589,0.117741,-0.4,0.199857,0.0
1987549921,0.111264,-0.4,0.198232,0.0
1987750809,0.0957733,-0.4,0.2,0.0
1987951605,0.103018,-0.398335,0.191423,0.0
