timestamp,nav_roll,nav_pitch,nav_bearing,target_bearing,xtrack_error,wp_dist,acceptance_radius,yaw_acceptance,altitude_acceptance
2014906656,-0.0451044,0.0897762,-0.056002,0.0847824,3.52243,174.329,24.5802,nan,0.0
2015408126,-0.0490176,0.119128,-0.0844164,0.0844173,3.94249,171.821,23.0067,nan,0.0
2015910559,-0.0795432,0.136125,-0.0591147,0.0845702,3.75653,169.395,25.6622,nan,0.0
2016393779,-0.125136,0.0771212,-0.0548869,0.0837125,4.74543,166.335,33.3715,nan,0.0
2016896078,-0.158471,0.0225181,-0.0852082,0.0828195,5.77153,162.915,33.5275,nan,0.0
2017398543,-0.131821,-0.00473677,-0.130897,0.0825067,6.11721,159.852,28.1958,nan,0.0
2017901589,-0.113781,-0.0386866,-0.171963,0.0815756,7.1805,157.035,27.9562,nan,0.0
2018407681,0.0275039,-0.0754982,-0.146227,0.0817853,6.92015,154.0,29.842,nan,0.0
2018910029,0.0530809,-0.0672715,-0.0944904,0.0831448,5.33615,150.895,29.4361,nan,0.0
2019412387,0.035187,-0.106512,-0.0711868,0.0838893,4.46976,148.068,28.2334,nan,0.0
2019919400,0.0630483,-0.0409228,-0.0439958,0.0846684,3.56618,145.188,27.1376,nan,0.0
2020422866,0.0307048,-0.0887407,-0.014195,0.0854514,2.6626,142.507,26.1514,nan,0.0
2020904172,-0.00581453,-0.0769079,-0.00375047,0.085642,2.43945,139.836,26.6841,nan,0.0
2021411211,-0.0384953,-0.0551746,-0.0172321,0.0852995,2.82232,137.014,26.9213,nan,0.0
2021909744,-0.0298338,-0.111958,-0.0140958,0.0854907,2.59916,134.279,25.553,nan,0.0
2022417027,-0.0453883,-0.172765,-0.0176513,0.0851462,2.98203,131.463,28.3321,nan,0.0
2022922436,-0.0376959,-0.129165,-0.000418104,0.08537,2.72168,128.346,30.8929,nan,0.0
2023425853,-0.0536213,-0.0269371,-0.00555497,0.0850553,3.06736,124.992,32.9059,nan,0.0
2023932126,-0.042844,-0.0100681,-0.0224706,0.0847387,3.41303,121.586,31.0152,nan,0.0
2024430646,-0.0301434,-0.0230645,-0.0238043,0.0849635,3.15268,118.497,28.3083,nan,0.0
2024936941,0.013373,0.0198683,-0.0146162,0.0851894,2.89233,115.572,28.2913,nan,0.0
2025439580,0.0197118,0.0581019,-0.00117719,0.0854165,2.63198,112.574,29.6205,nan,0.0
2025922846,-0.0128497,0.077711,0.00838596,0.0856448,2.37162,109.524,29.8967,nan,0.0
2026424428,-0.0363275,0.0530466,0.0171334,0.0859072,2.07407,106.421,29.376,nan,0.0
2026931431,-0.0531866,0.0427356,0.00528473,0.0855551,2.45695,103.283,29.8107,nan,0.0
