timestamp,timestamp_sample,xyz[0],xyz[1],xyz[2]
1821419963,1821419742,0.0582161,0.0715829,-0.0482637
1821440793,1821440566,0.0547353,0.1228,-0.0350671
1821462340,1821462143,0.0313556,0.160012,-0.0352561
1821483971,1821483742,0.0276527,0.180521,-0.0302838
1821504762,1821504542,0.0492454,0.199271,-0.030183
1821525559,1821525343,0.0367182,0.203728,-0.0268742
1821547156,1821546967,0.0361479,0.196376,-0.00643459
1821565574,1821565342,0.0421579,0.179497,0.0134859
1821587124,1821586942,0.0475221,0.156252,0.0345223
1821608752,1821608542,0.0406428,0.137358,0.0446371
1821629568,1821629342,0.0567728,0.150123,0.0564088
1821650359,1821650145,0.0563887,0.151124,0.0692137
1821670361,1821670143,0.0612986,0.18635,0.0748271
1821694392,1821694294,0.00704888,0.201218,0.0595967
1821718366,1821718143,-0.0275209,0.217704,0.0368221
1821737569,1821737349,-0.0617506,0.206576,0.0138943
1821760806,1821760707,-0.150879,0.204166,-0.00863203
1821779926,1821779742,-0.223227,0.194215,-0.027113
1821801560,1821801344,-0.248683,0.168711,-0.0387268
1821822370,1821822142,-0.228467,0.136078,-0.04361
1821843170,1821842942,-0.208992,0.0972288,-0.0485453
1821863164,1821862947,-0.202599,0.0391546,-0.0551336
1821887158,1821886943,-0.141056,-0.0431226,-0.051676
1821910365,1821910142,-0.101095,-0.122194,-0.0467607
1821930369,1821930147,-0.118625,-0.186526,-0.0356764
1821952737,1821952550,-0.146678,-0.244597,-0.0154612
1821973562,1821973342,-0.189409,-0.267758,0.0131581
1821995185,1821994942,-0.240179,-0.263084,0.0390154
1822015156,1822014951,-0.267259,-0.23308,0.0657783
1822035965,1822035742,-0.259047,-0.178634,0.0982101
1822057570,1822057342,-0.257963,-0.101088,0.129439
1822078390,1822078151,-0.261272,-0.0241164,0.151303
1822101564,1822101467,-0.279447,0.0444541,0.179755
1822123973,1822123742,-0.264576,0.078115,0.202931
1822147979,1822147742,-0.221916,0.095705,0.224478
1822169522,1822169342,-0.185079,0.0837917,0.242182
1822190369,1822190142,-0.17109,0.0456759,0.26008
1822211957,1822211742,-0.159728,-0.0119115,0.283187
1822235997,1822235770,-0.163948,-0.0851602,0.30939
1822260753,1822260543,-0.147282,-0.13883,0.345469
1822281571,1822281358,-0.123272,-0.165011,0.376393
1822303184,1822302957,-0.0594015,-0.156527,0.40424
1822321567,1822321345,-0.000462093,-0.162103,0.420496
1822345563,1822345344,0.0720091,-0.149264,0.432225
1822363982,1822363883,0.120447,-0.152811,0.427069
1822385555,1822385342,0.166613,-0.152076,0.415354
1822407122,1822406943,0.196641,-0.141783,0.395255
1822428776,1822428542,0.176017,-0.115957,0.359867
1822449564,1822449342,0.148688,-0.0744999,0.315351
1822469572,1822469342,0.105761,-0.0466853,0.264212
1822490396,1822490142,0.0846227,-0.0172718,0.206793
1822509611,1822509494,0.0821504,-0.0155291,0.160663
1822533562,1822533342,0.0501737,-0.0198014,0.0989226
1822557558,1822557342,0.0250005,-0.016217,0.0407633
1822578367,1822578142,0.0408181,-0.0051751,-0.00903144
1822599155,1822598943,0.0578448,-0.00341117,-0.0465005
1822618403,1822618295,0.0757989,-0.00473155,-0.0750572
1822640762,1822640542,0.112635,-0.0141063,-0.0848837
1822663158,1822662943,0.174976,-0.0209919,-0.0716979
1822683167,1822682946,0.224523,-0.0301624,-0.0488193
1822702413,1822702300,0.228489,-0.0514779,-0.0275325
1822724731,1822724544,0.20417,-0.072768,0.00256879
1822747169,1822746946,0.19493,-0.115027,0.0199785
1822767953,1822767743,0.22162,-0.141666,0.0412635
1822789573,1822789342,0.25927,-0.187868,0.0603065
1822807964,1822807742,0.268006,-0.200743,0.0690466
1822829570,1822829345,0.273387,-0.213756,0.0761004
1822853536,1822853348,0.250676,-0.237099,0.0877314
1822877523,1822877344,0.161748,-0.246262,0.0789009
1822897535,1822897352,0.0867364,-0.259023,0.0706926
1822918381,1822918142,0.0205279,-0.236157,0.0674701
1822939957,1822939742,-0.046957,-0.205736,0.0513967
1822960753,1822960542,-0.100196,-0.158332,0.0331124
1822979966,1822979742,-0.139196,-0.103488,0.0118028
1823000766,1823000545,-0.169601,-0.0390661,-0.00823049
1823024757,1823024545,-0.241076,0.0754226,-0.0438288
1823043961,1823043742,-0.314109,0.151498,-0.0830767
1823064771,1823064542,-0.348213,0.196626,-0.106962
1823085549,1823085333,-0.371221,0.227634,-0.131182
1823107166,1823106942,-0.396862,0.227392,-0.159143
1823128774,1823128554,-0.402585,0.207674,-0.179165
1823149578,1823149342,-0.395342,0.169992,-0.201697
1823171190,1823170956,-0.373374,0.131851,-0.216707
1823189567,1823189342,-0.300885,0.096652,-0.218552
1823211128,1823210942,-0.241959,0.0664911,-0.206583
1823234386,1823234164,-0.200323,0.0601084,-0.191512
1823254359,1823254143,-0.140434,0.0612738,-0.172409
1823275963,1823275742,-0.0743055,0.0942004,-0.142846
1823297597,1823297376,-0.0518124,0.144,-0.115926
1823318392,1823318295,-0.0604878,0.20495,-0.0835116
1823342360,1823342143,-0.0552983,0.24263,-0.0447012
1823362410,1823362169,-0.0687719,0.255393,-0.0194782
1823383175,1823382971,-0.0629659,0.257707,0.00242453
1823402419,1823402306,-0.0301387,0.243874,0.0216713
1823426372,1823426142,-0.00878662,0.199535,0.0511345
1823447168,1823446946,-0.00965824,0.170279,0.0677067
1823472782,1823472551,0.0219165,0.127038,0.0846586
1823492766,1823492546,0.0273327,0.128456,0.100528
1823512797,1823512580,0.00177465,0.163152,0.101813
1823535925,1823535747,-0.0624027,0.212049,0.101742
1823560726,1823560543,-0.0851035,0.222884,0.125998
1823581560,1823581343,-0.132487,0.190332,0.138059
1823599972,1823599745,-0.179694,0.137781,0.147898
1823621579,1823621346,-0.196134,0.061498,0.163613
1823643186,1823642969,-0.172978,0.0105479,0.18122
1823664056,1823663932,-0.123679,-0.0274489,0.194316
1823685565,1823685343,-0.046866,-0.0775508,0.19631
1823706353,1823706142,0.0478737,-0.131706,0.196154
1823724751,1823724543,0.118826,-0.144631,0.198872
1823748762,1823748543,0.21497,-0.160352,0.19636
1823768047,1823767931,0.276811,-0.148662,0.203014
1823790390,1823790145,0.300818,-0.119846,0.200783
1823808770,1823808543,0.272539,-0.0892597,0.192878
1823831979,1823831759,0.212493,-0.0567397,0.179703
1823855151,1823854943,0.181979,-0.00947606,0.154637
1823877524,1823877343,0.170472,0.0291113,0.138856
1823899209,1823898966,0.138503,0.0589747,0.106304
1823917547,1823917343,0.0726478,0.107133,0.0682808
1823941551,1823941343,0.000425462,0.160284,0.0301374
1823965579,1823965482,-0.0255195,0.20959,-0.00621673
1823985567,1823985346,-0.0526995,0.222867,-0.0325583
1824006346,1824006143,-0.0849869,0.267422,-0.0451565
1824026335,1824026142,-0.0981862,0.258692,-0.0520252
1824047969,1824047742,-0.13596,0.210094,-0.0613484
1824069602,1824069495,-0.183224,0.162966,-0.0792238
1824089563,1824089342,-0.199631,0.0987291,-0.0811259
1824110411,1824110144,-0.179269,0.0541619,-0.0665301
1824132013,1824131903,-0.16991,-0.00288599,-0.0577762
1824155146,1824154945,-0.175791,-0.063141,-0.0358351
1824175134,1824174943,-0.189193,-0.113016,-0.0113259
1824195146,1824194942,-0.22275,-0.14722,0.00607712
1824214408,1824214308,-0.235369,-0.176749,0.02452
1824236773,1824236544,-0.193242,-0.200313,0.0533443
1824259195,1824258974,-0.130811,-0.208358,0.0701056
1824279158,1824278946,-0.0601696,-0.20879,0.0753776
1824305556,1824305350,0.0549162,-0.187788,0.0850869
1824323929,1824323742,0.111447,-0.151049,0.0870353
1824345569,1824345347,0.176201,-0.0997591,0.0977547
1824367165,1824366942,0.260469,-0.0432498,0.117523
1824387981,1824387742,0.293769,0.0210624,0.125393
1824409566,1824409342,0.227669,0.0866824,0.106777
1824431171,1824430942,0.229747,0.123303,0.0976366
1824451156,1824450942,0.31915,0.139183,0.0964303
1824471957,1824471742,0.374671,0.185075,0.0875216
1824492778,1824492673,0.384954,0.23481,0.0807125
1824512767,1824512543,0.396857,0.26024,0.0744107
1824536729,1824536543,0.382109,0.332317,0.0556387
1824555973,1824555742,0.314275,0.368059,0.0287124
1824576765,1824576547,0.236332,0.373981,0.00571193
1824598377,1824598142,0.169981,0.344884,-0.0251004
1824619152,1824618942,0.0519696,0.262871,-0.0842414
1824640765,1824640542,-0.0346577,0.169477,-0.128744
1824661529,1824661343,-0.110829,0.0865733,-0.168537
1824683185,1824682969,-0.236444,0.0219399,-0.223033
1824704032,1824703915,-0.288309,-0.0211528,-0.253518
1824723173,1824722945,-0.270484,-0.0345301,-0.264955
1824744759,1824744542,-0.274294,-0.0228401,-0.276367
1824765574,1824765342,-0.299214,-0.0107827,-0.256387
1824786345,1824786147,-0.338307,0.0194289,-0.244958
1824806350,1824806166,-0.432949,0.0476965,-0.238427
1824830348,1824830153,-0.539313,0.0571699,-0.211796
1824851957,1824851744,-0.610135,0.076463,-0.211869
1824873610,1824873503,-0.687738,0.0594155,-0.220052
1824895974,1824895742,-0.746179,0.040892,-0.218589
1824917580,1824917342,-0.73225,0.0125523,-0.213934
1824938374,1824938142,-0.709,-0.0381352,-0.208174
1824959148,1824958942,-0.699988,-0.0803741,-0.200877
1824980779,1824980555,-0.659142,-0.122521,-0.178104
1824999132,1824998942,-0.59326,-0.147453,-0.140818
1825020760,1825020545,-0.492083,-0.187448,-0.0905905
1825043141,1825042942,-0.423669,-0.242761,-0.041532
1825067178,1825066946,-0.224896,-0.323947,0.0171254
1825087936,1825087742,0.00546746,-0.445654,0.0822779
1825107921,1825107743,0.114696,-0.571487,0.133415
1825131921,1825131743,0.151037,-0.675349,0.189819
1825153553,1825153342,0.282916,-0.700226,0.225813
1825175156,1825174942,0.469771,-0.66525,0.279589
1825195931,1825195742,0.615091,-0.629437,0.337413
1825217560,1825217349,0.665039,-0.53037,0.387006
1825239154,1825238942,0.689044,-0.422406,0.408554
1825259984,1825259753,0.705921,-0.3268,0.430393
1825280744,1825280551,0.704432,-0.221618,0.419468
1825302392,1825302160,0.569936,-0.0849849,0.357678
1825320732,1825320542,0.451246,-0.00123578,0.292428
1825344754,1825344542,0.447428,0.0938783,0.197546
1825363965,1825363743,0.387007,0.156587,0.12316
1825384737,1825384544,0.259668,0.201356,0.0458488
1825407174,1825406945,0.136385,0.268321,-0.0313007
1825428818,1825428703,0.0129859,0.306356,-0.0973669
1825453521,1825453343,-0.0573059,0.348876,-0.147821
1825477521,1825477343,-0.126368,0.344753,-0.177666
1825501529,1825501342,-0.20888,0.290435,-0.204427
1825527154,1825526943,-0.171019,0.336442,-0.220734
1825545578,1825545471,-0.169239,0.341594,-0.236878
1825567952,1825567742,-0.0726144,0.323094,-0.223572
1825589638,1825589342,0.0452311,0.314295,-0.14657
1825613563,1825613342,0.168705,0.259218,-0.0435671
1825633579,1825633350,0.266318,0.198948,0.0108544
1825654328,1825654143,0.332559,0.131186,0.0769305
1825675946,1825675742,0.348598,0.0620506,0.134245
1825698383,1825698270,0.320529,-0.0100842,0.144565
1825722344,1825722142,0.270919,-0.0624398,0.171672
1825747159,1825746970,0.27502,-0.140459,0.193747
1825771135,1825770943,0.230508,-0.161841,0.189865
1825791139,1825790943,0.210263,-0.129398,0.170419
1825810393,1825810296,0.152144,-0.0657699,0.145211
1825832757,1825832542,0.0365223,-0.016902,0.126941
1825854372,1825854145,-0.0090464,0.025856,0.100891
1825875140,1825874942,-0.0612225,0.0592601,0.0689755
1825895973,1825895742,-0.183857,0.0434149,0.0258952
1825917556,1825917347,-0.263357,0.0591049,-0.0219001
1825939163,1825938942,-0.337292,0.0437029,-0.0735299
1825959941,1825959747,-0.401381,0.0605318,-0.150546
1825981568,1825981350,-0.395652,0.0370762,-0.210949
1825999939,1825999742,-0.40013,0.0321403,-0.244346
1826020761,1826020543,-0.424531,0.0423426,-0.26968
1826044773,1826044543,-0.42898,0.0583109,-0.263211
1826067934,1826067742,-0.448208,0.0298377,-0.24846
1826088728,1826088542,-0.444027,0.0344934,-0.215518
1826110363,1826110142,-0.3862,0.0126225,-0.173882
1826131960,1826131742,-0.328743,-0.0100439,-0.13107
1826152737,1826152551,-0.198265,-0.122477,-0.0575903
1826173566,1826173343,-0.0184967,-0.188036,0.00716783
1826195158,1826194942,0.132527,-0.230244,0.0643064
1826213597,1826213500,0.221174,-0.309036,0.13534
1826237569,1826237365,0.286931,-0.316088,0.214264
1826256760,1826256542,0.261956,-0.354063,0.251527
1826277523,1826277343,0.252327,-0.320093,0.301112
1826299158,1826298951,0.275265,-0.268633,0.330129
1826320754,1826320542,0.298579,-0.183258,0.322903
1826341528,1826341342,0.351845,-0.0835167,0.293884
1826366373,1826366143,0.391332,0.0197083,0.262609
1826385580,1826385472,0.33678,0.0831522,0.230822
1826407968,1826407751,0.289688,0.123893,0.176702
1826429565,1826429342,0.193571,0.132539,0.121734
1826452801,1826452590,0.0515885,0.0859206,0.0693518
1826473564,1826473350,-0.0507883,0.0692683,0.0536168
1826495218,1826494943,-0.200761,0.0452206,0.0348826
1826516755,1826516547,-0.301321,0.0399291,0.023864
1826535178,1826534942,-0.319692,0.096499,0.0197551
1826560763,1826560543,-0.361577,0.182905,0.0124487
1826583150,1826582942,-0.325522,0.210056,0.0414569
1826608773,1826608552,-0.25432,0.207771,0.0780937
1826628746,1826628542,-0.188739,0.214734,0.104171
1826649577,1826649365,-0.0497229,0.147021,0.153628
1826671167,1826670967,0.0532006,0.0813817,0.176898
1826692773,1826692550,0.0748024,0.027882,0.177977
1826713559,1826713346,0.0978033,-0.0478055,0.217945
1826733550,1826733342,0.138412,-0.0876707,0.25356
1826755187,1826754961,0.12177,-0.127297,0.267638
1826776762,1826776543,0.103254,-0.12288,0.289247
1826799933,1826799742,0.137493,-0.134878,0.29731
1826821549,1826821342,0.102702,-0.101,0.290864
1826842382,1826842159,0.0835864,-0.0604669,0.283166
1826860768,1826860548,0.0537825,-0.0163278,0.264619
1826884787,1826884549,0.0576059,0.079095,0.22565
1826906372,1826906161,0.0961854,0.136051,0.171683
1826930418,1826930312,0.177163,0.207416,0.12804
1826948729,1826948542,0.244397,0.231964,0.109416
1826969558,1826969343,0.262119,0.214769,0.102221
1826993606,1826993504,0.21591,0.200775,0.0838783
1827017566,1827017343,0.14846,0.190505,0.0577975
1827036724,1827036542,0.0933505,0.153894,0.0323124
1827057611,1827057505,0.0523917,0.115957,0.00968396
1827080726,1827080542,-0.00369415,0.0806384,-0.00481175
1827100749,1827100542,-0.0546412,0.0416781,-0.0129733
1827121532,1827121345,-0.092301,0.00672182,-0.0145484
1827141574,1827141466,-0.109013,-0.0254202,-0.00881752
1827163996,1827163885,-0.0905781,-0.0559017,0.0131898
1827185550,1827185342,-0.0727244,-0.0791061,0.0329723
1827211959,1827211745,-0.0513765,-0.14014,0.0290975
1827233536,1827233342,-0.0349745,-0.151254,0.0185306
1827255159,1827254942,-0.0343904,-0.154159,0.018439
1827275181,1827274946,-0.0780492,-0.149373,0.0235611
1827294379,1827294269,-0.156349,-0.134462,0.013781
1827316805,1827316705,-0.22041,-0.123481,0.00204007
1827339203,1827338942,-0.286225,-0.110977,-0.0023728
1827360783,1827360559,-0.307285,-0.0725635,-0.0159826
1827379965,1827379743,-0.327378,-0.0762277,-0.0273022
1827400805,1827400542,-0.338533,-0.122703,-0.0350235
1827423165,1827422942,-0.234846,-0.115653,-0.0406222
1827447967,1827447743,0.000375321,-0.106822,-0.0092721
1827467135,1827466942,0.117837,-0.0798191,0.033331
1827487976,1827487742,0.194355,-0.0453798,0.0545841
1827509552,1827509342,0.263068,-0.0206815,0.0876157
1827531123,1827530942,0.342673,0.0649629,0.139123
