timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
1868424440,1868422525,1200.0,0.588899,0.0207924,1.05348,0.0,255,0,6,4,0,0,0,1,1,1,34
1869323387,1869322689,1200.0,0.588899,0.0208518,0.986984,0.0,255,0,6,4,0,0,0,1,1,1,34
1870329074,1869322689,1200.0,0.588899,0.0209389,1.17158,0.0,255,0,6,4,0,0,0,1,1,1,34
1870340105,1870337058,1200.0,0.588899,0.0209389,1.17158,0.0,255,0,6,4,0,0,0,1,1,1,34
1871346059,1870337058,1200.0,0.588899,0.020857,1.17792,0.0,255,0,6,4,0,0,0,1,1,1,34
1871396082,1871393312,1200.0,0.588899,0.020857,1.17792,0.0,255,0,6,4,0,0,0,1,1,1,34
1872312080,1872303410,1200.0,0.588899,0.0207871,0.942348,0.0,255,0,6,4,0,0,0,1,1,1,34
1873321059,1872303410,1200.0,0.588899,0.0469954,1.20388,0.0,255,0,6,4,0,0,0,1,1,1,34
1873332481,1873325219,1200.0,0.588899,0.0469954,1.20388,0.0,255,0,6,4,0,0,0,1,1,1,34
1874342335,1873325219,1200.0,0.588899,0.0209816,1.04808,0.0,255,0,6,4,0,0,0,1,1,1,34
1874717094,1874711278,1200.0,0.588899,0.0209816,1.04808,0.0,255,0,6,4,0,0,0,1,1,1,34
1875332169,1875326514,1200.0,0.588899,0.0208343,1.11414,0.0,255,0,6,4,0,0,0,1,1,1,34
1876325062,1876320012,1200.0,0.588899,0.0207956,1.12989,0.0,255,0,6,4,0,0,0,1,1,1,34
1877330618,1876320012,1200.0,0.588899,0.0208864,1.01747,0.0,255,0,6,4,0,0,0,1,1,1,34
1877478426,1877472485,1200.0,0.588899,0.0208864,1.01747,0.0,255,0,6,4,0,0,0,1,1,1,34
1878334517,1878327146,1200.0,0.588899,0.0208322,1.02673,0.0,255,0,6,4,0,0,0,1,1,1,34
1879311460,1879310634,1200.0,0.588899,0.0207858,1.05216,0.0,255,0,6,4,0,0,0,1,1,1,34
1880320275,1879310634,1200.0,0.588899,0.0209946,1.1747,0.0,255,0,6,4,0,0,0,1,1,1,34
1880384367,1880376815,1200.0,0.588899,0.0209946,1.1747,0.0,255,0,6,4,0,0,0,1,1,1,34
