timestamp,lat,lon,alt,alt_ellipsoid,delta_alt,vel_n,vel_e,vel_d,yaw,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1828939742,40.4364922507,-86.8936824758,155.607,124.793,-0.0,-0.266566,0.13555,-0.0374681,0.231676,0.807303,1.66214,0.0,3,0,0,0
1829147742,40.4364920012,-86.8936818417,155.622,124.81,-0.0,-0.111217,0.218844,-0.0898335,0.236981,0.808257,1.66216,0.0,3,0,0,0
1829348542,40.4364918574,-86.8936811585,155.646,124.835,-0.0,-0.131809,0.2882,-0.0453657,0.253784,0.808907,1.6621,0.0,3,0,0,0
1829550168,40.4364917773,-86.8936803325,155.66,124.849,-0.0,-0.0969476,0.393522,0.011715,0.323967,0.809628,1.6619,0.0,3,0,0,0
1829750942,40.4364917275,-86.8936795134,155.674,124.862,-0.0,-0.15444,0.287365,-0.0621687,0.364318,0.810385,1.66197,0.0,3,0,0,0
1829947742,40.4364913901,-86.8936789101,155.696,124.884,-0.0,-0.38676,0.307433,-0.0952355,0.380259,0.811097,1.66195,0.0,3,0,0,0
1830149342,40.4364907889,-86.8936781288,155.717,124.905,-0.0,-0.410892,0.429814,-0.076636,0.420475,0.811649,1.66216,0.0,3,0,0,0
1830357342,40.436490325,-86.8936772265,155.759,124.946,-0.0,-0.297998,0.382789,-0.294621,0.355822,0.812665,1.66223,0.0,3,0,0,0
1830555742,40.4364900415,-86.8936765776,155.789,124.975,-0.0,-0.19352,0.226979,-0.0806958,0.293254,0.813417,1.6623,0.0,3,0,0,0
1830765342,40.4364899617,-86.8936762589,155.763,124.95,-0.0,-0.135652,0.0837841,0.0314734,0.284111,0.814419,1.66228,0.0,3,0,0,0
1830965344,40.4364899419,-86.8936760779,155.728,124.915,-0.0,-0.0333971,0.0950031,0.0198881,0.271958,0.815235,1.66245,0.0,3,0,0,0
1831166142,40.4364901049,-86.8936758536,155.695,124.885,-0.0,0.0286322,0.157665,-0.0123289,0.24355,0.815995,1.66265,0.0,3,0,0,0
1831363742,40.4364903783,-86.8936755168,155.67,124.864,-0.0,0.15649,0.205292,-0.0696063,0.202471,0.816827,1.66271,0.0,3,0,0,0
1831571742,40.4364908001,-86.8936751533,155.662,124.86,-0.0,0.180135,0.185612,-0.152833,0.103241,0.817802,1.66248,0.0,3,0,0,0
1831773342,40.4364911995,-86.8936749393,155.667,124.871,-0.0,0.185205,0.123062,-0.179244,-0.0174687,0.818526,1.66251,0.0,3,0,0,0
1831970304,40.4364915135,-86.8936748735,155.682,124.891,-0.0,0.128957,0.127961,-0.155903,-0.130344,0.819342,1.6626,0.0,3,0,0,0
1832179742,40.4364916827,-86.8936748396,155.691,124.906,-0.0,0.0198174,0.0966618,-0.01075,-0.144603,0.82027,1.66275,0.0,3,0,0,0
1832380542,40.4364915749,-86.8936750449,155.7,124.921,-0.0,-0.165168,-0.0760867,-0.0393091,-0.11662,0.820953,1.66267,0.0,3,0,0,0
1832581345,40.436491188,-86.8936755701,155.675,124.903,-0.0,-0.254343,-0.19875,0.0896913,0.0497174,0.821515,1.66241,0.0,3,0,0,0
1832782946,40.4364907784,-86.8936761341,155.637,124.872,-0.0,-0.192869,-0.237429,-0.0250886,0.21249,0.822015,1.66233,0.0,3,0,0,0
1832987762,40.4364905161,-86.8936765596,155.634,124.877,-0.0,-0.0789567,-0.123643,-0.112638,0.282001,0.822915,1.66233,0.0,3,0,0,0
1833188542,40.4364903623,-86.8936766452,155.622,124.872,-0.0,-0.0500445,-0.0427275,0.0186358,0.328958,0.823189,1.66222,0.0,3,0,0,0
1833389342,40.4364903279,-86.8936766958,155.602,124.86,-0.0,-0.00454376,-0.0242895,-0.0783194,0.310151,0.823646,1.66234,0.0,3,0,0,0
1833590942,40.436490266,-86.8936766914,155.593,124.861,-0.0,-0.0883957,-0.0159129,-0.0242451,0.293443,0.824176,1.66241,0.0,3,0,0,0
1833795742,40.4364901315,-86.8936767111,155.573,124.851,-0.0,-0.0920623,-0.0203721,-0.00672926,0.294471,0.82518,1.66237,0.0,3,0,0,0
1833996542,40.4364899892,-86.8936767382,155.552,124.842,-0.0,-0.0876635,-0.0281149,0.00121577,0.284064,0.825523,1.66246,0.0,3,0,0,0
1834205342,40.4364899127,-86.8936767901,155.555,124.87,-0.0,-0.0492205,-0.0296965,-0.0792224,0.236594,0.826418,1.66245,0.0,3,0,0,0
1834403743,40.4364899135,-86.8936768614,155.571,124.885,-0.0,-0.055215,-0.0483968,-0.0516711,0.206589,0.826972,1.66256,0.0,3,0,0,0
1834611742,40.4364898746,-86.8936769616,155.581,124.922,-0.0,-0.07682,-0.0509287,0.00264715,0.196706,0.827755,1.66271,0.0,3,0,0,0
1834808542,40.4364898103,-86.8936770954,155.596,124.95,-0.0,-0.0927735,-0.0733,0.0144851,0.201314,0.828272,1.6628,0.0,3,0,0,0
1835214942,40.4364896044,-86.8936770079,155.609,124.987,-0.0,-0.0704384,0.0871494,-0.0722088,0.148165,0.829453,1.6625,0.0,3,0,0,0
1835423895,40.4364897696,-86.8936765747,155.63,125.019,-0.0,0.106139,0.105653,-0.0751216,0.114862,0.830409,1.66253,0.0,3,0,0,0
1835625469,40.4364900311,-86.8936763518,155.636,125.037,-0.0,0.0157355,-0.0197872,-0.0712219,-0.000636547,0.830942,1.66248,0.0,3,0,0,0
1835825342,40.4364901201,-86.8936763869,155.633,125.045,-0.0,-0.0483751,-0.0436233,-0.0120756,-0.0416183,0.831499,1.66243,0.0,3,0,0,0
1836026942,40.4364901245,-86.8936764442,155.628,125.052,-0.0,-0.0874874,-0.0825311,0.00590654,-0.0224159,0.831964,1.66227,0.0,3,0,0,0
1836235742,40.4364900872,-86.8936766129,155.646,125.081,-0.0,-0.0707734,-0.152572,-0.157233,-0.050329,0.832827,1.66242,0.0,3,0,0,0
1836437342,40.4364900303,-86.893676856,155.663,125.109,-0.0,-0.0803034,-0.161315,-0.0664054,-0.0328468,0.833142,1.66235,0.0,3,0,0,0
1836638142,40.4364899124,-86.893677182,155.659,125.117,-0.0,-0.10825,-0.197963,-0.0117397,0.0681008,0.83355,1.66225,0.0,3,0,0,0
1836839742,40.436489819,-86.8936774879,155.664,125.134,-0.0,-0.0709146,-0.17563,-0.0758365,0.120577,0.833869,1.6623,0.0,3,0,0,0
1837039745,40.4364897765,-86.893677655,155.662,125.143,-0.0,0.0212521,-0.10783,-0.0233143,0.175571,0.834163,1.66226,0.0,3,0,0,0
1837241342,40.4364899152,-86.8936777227,155.661,125.154,-0.0,0.0412506,-0.110576,-0.112497,0.173341,0.83441,1.66225,0.0,3,0,0,0
1837446942,40.4364899877,-86.8936777854,155.687,125.192,-0.0,-0.0131043,-0.0638461,-0.126519,0.135187,0.835178,1.66212,0.0,3,0,0,0
