timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],q_d_valid,roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
1964054116,0.0878545,-0.0172162,0.291341,0.0,0.988363,0.0446947,-0.00213459,0.145385,0.703305,0.0,0.0,1,0,0,0,0,0
1964150075,0.0789144,-0.0146217,0.278102,0.0,0.989511,0.0400777,-0.00176727,0.138777,0.706529,0.0,0.0,1,0,0,0,0,0
1964247554,0.0778694,-0.0207285,0.277701,0.0,0.989516,0.0399815,-0.00486945,0.138692,0.70213,0.0,0.0,1,0,0,0,0,0
1964342883,0.0728453,-0.0119602,0.277315,0.0,0.989698,0.0368904,-0.000885823,0.138335,0.714398,0.0,0.0,1,0,0,0,0,0
1964441167,0.07209,-0.0131277,0.276806,0.0,0.98974,0.0365968,-0.00152519,0.138103,0.709412,0.0,0.0,1,0,0,0,0,0
1964560884,0.0755631,0.00134527,0.27708,0.0,0.989715,0.0373178,0.005882,0.137974,0.719174,0.0,0.0,1,0,0,0,0,0
1964654001,0.0782513,-0.00216266,0.277984,0.0,0.989592,0.0388881,0.00434919,0.138481,0.704478,0.0,0.0,1,0,0,0,0,0
1964749744,0.0781578,0.00220029,0.265416,0.0,0.990456,0.03858,0.0062592,0.132175,0.69356,0.0,0.0,1,0,0,0,0,0
1964871282,0.0872442,0.00441278,0.267077,0.0,0.990165,0.0429264,0.00799075,0.13292,0.685683,0.0,0.0,1,0,0,0,0,0
1964966797,0.0936396,0.00174337,0.267854,0.0,0.989964,0.0462673,0.00711234,0.13334,0.684928,0.0,0.0,1,0,0,0,0,0
1965063315,0.0990167,0.00561569,0.269149,0.0,0.989759,0.0486642,0.00941877,0.133866,0.693391,0.0,0.0,1,0,0,0,0,0
1965160097,0.102439,0.00543953,0.269915,0.0,0.989623,0.050366,0.00957995,0.134233,0.694589,0.0,0.0,1,0,0,0,0,0
1965257162,0.104738,-0.00218884,0.270166,0.0,0.989523,0.0520156,0.00596651,0.134545,0.684893,0.0,0.0,1,0,0,0,0,0
1965373880,0.105228,0.0169966,0.270029,0.0,0.989553,0.0509669,0.0154878,0.133971,0.722007,0.0,0.0,1,0,0,0,0,0
1965469853,0.106001,0.0113517,0.270252,0.0,0.989518,0.0517282,0.0127527,0.134226,0.703477,0.0,0.0,1,0,0,0,0,0
1965565638,0.108442,0.0164851,0.270562,0.0,0.989434,0.0525873,0.015464,0.134223,0.709658,0.0,0.0,1,0,0,0,0,0
1965662108,0.112323,0.019321,0.27026,0.0,0.989348,0.0543182,0.0171189,0.133963,0.709399,0.0,0.0,1,0,0,0,0,0
1965783474,0.11427,0.0249545,0.269953,0.0,0.989306,0.0549037,0.020027,0.133631,0.715004,0.0,0.0,1,0,0,0,0,0
1965878800,0.111086,0.0373089,0.258558,0.0,0.990087,0.0526405,0.0256248,0.127671,0.729496,0.0,0.0,1,0,0,0,0,0
1965976242,0.124099,0.0260658,0.260347,0.0,0.989652,0.0597912,0.0209459,0.128744,0.705834,0.0,0.0,1,0,0,0,0,0
1966072968,0.131096,0.0327013,0.260589,0.0,0.989401,0.0628175,0.0246857,0.128568,0.704847,0.0,0.0,1,0,0,0,0,0
1966190102,0.128921,0.0317301,0.261906,0.0,0.989388,0.0617892,0.0241062,0.129278,0.697225,0.0,0.0,1,0,0,0,0,0
1966285770,0.138877,0.0373612,0.275836,0.0,0.988123,0.0661501,0.0279947,0.135842,0.705534,0.0,0.0,1,0,0,0,0,0
