timestamp,baro_alt_meter,baro_temp_celcius,baro_pressure_pa,rho
1819147584,26.8433,29.53,101003.0,1.20008
1819167729,26.6769,29.53,101005.0,1.20011
1819177787,26.5104,29.53,101007.0,1.20013
1819187922,26.7588,29.53,101004.0,1.20009
1819208018,26.6769,29.53,101005.0,1.20011
1819218078,26.9279,29.53,101002.0,1.20007
1819228168,26.4258,29.53,101008.0,1.20014
1819248390,26.7588,29.52,101004.0,1.20009
1819258442,26.1748,29.52,101011.0,1.20018
1819268483,26.5104,29.52,101007.0,1.20013
1819288847,25.8419,29.53,101015.0,1.20023
1819298911,26.6769,29.53,101005.0,1.20011
1819308962,26.6769,29.53,101005.0,1.20011
1819329184,26.7588,29.53,101004.0,1.20009
1819339234,26.3413,29.53,101009.0,1.20015
1819349314,27.0098,29.53,101001.0,1.20006
1819369583,26.3413,29.53,101009.0,1.20015
1819379644,26.3413,29.53,101009.0,1.20015
1819389707,26.5104,29.53,101007.0,1.20013
1819410063,26.6769,29.53,101005.0,1.20011
1819420111,26.9279,29.53,101002.0,1.20007
1819430408,26.8433,29.53,101003.0,1.20008
1819450502,26.5923,29.53,101006.0,1.20012
1819460723,26.6769,29.53,101005.0,1.20011
1819470775,26.5104,29.53,101007.0,1.20013
1819490879,26.5104,29.52,101007.0,1.20013
1819500931,26.4258,29.52,101008.0,1.20014
1819511200,26.5923,29.52,101006.0,1.20012
1819531323,26.6769,29.53,101005.0,1.20011
1819541483,26.6769,29.53,101005.0,1.20011
1819551532,26.4258,29.53,101008.0,1.20014
1819571668,26.4258,29.53,101008.0,1.20014
1819581764,26.5923,29.53,101006.0,1.20012
1819591974,26.5104,29.53,101007.0,1.20013
1819612072,26.6769,29.53,101005.0,1.20011
1819622124,26.3413,29.53,101009.0,1.20015
1819632174,26.8433,29.53,101003.0,1.20008
1819652464,26.8433,29.53,101003.0,1.20008
1819662512,26.4258,29.53,101008.0,1.20014
1819672752,26.5923,29.53,101006.0,1.20012
1819692843,26.5104,29.53,101007.0,1.20013
1819702894,26.4258,29.53,101008.0,1.20014
1819712944,26.2594,29.53,101010.0,1.20017
