timestamp,vel_pos_innov[0],vel_pos_innov[1],vel_pos_innov[2],vel_pos_innov[3],vel_pos_innov[4],vel_pos_innov[5],mag_innov[0],mag_innov[1],mag_innov[2],heading_innov,airspeed_innov,beta_innov,flow_innov[0],flow_innov[1],hagl_innov,vel_pos_innov_var[0],vel_pos_innov_var[1],vel_pos_innov_var[2],vel_pos_innov_var[3],vel_pos_innov_var[4],vel_pos_innov_var[5],mag_innov_var[0],mag_innov_var[1],mag_innov_var[2],heading_innov_var,airspeed_innov_var,beta_innov_var,flow_innov_var[0],flow_innov_var[1],hagl_innov_var,output_tracking_error[0],output_tracking_error[1],output_tracking_error[2],drag_innov[0],drag_innov[1],drag_innov_var[0],drag_innov_var[1],aux_vel_innov[0],aux_vel_innov[1]
1996967742,-0.299916,0.0912743,0.130103,0.0293579,0.0674362,-0.511477,-0.218663,-0.421333,-0.680655,1.27888,1.61843,0.0663704,0.0,0.0,0.185501,0.263747,0.266605,0.150166,0.407809,0.410879,4.04589,0.0025199,0.00251995,0.00251421,0.0901403,1.9185,0.300142,0.0,0.0,0.601977,0.000660682,0.00699824,0.0237959,0.0,0.0,0.0,0.0,0.0,0.0
1997168542,0.0170095,0.136827,-0.143799,0.0367126,0.0504723,-0.470644,-0.235417,-0.420851,-0.632209,1.27888,1.87172,0.0339422,0.0,0.0,0.185501,0.263203,0.26541,0.149966,0.406176,0.409208,4.04577,0.00251998,0.00251979,0.00251397,0.0901403,1.91826,0.300142,0.0,0.0,0.601977,0.000623004,0.0106606,0.0338167,0.0,0.0,0.0,0.0,0.0,0.0
1997373342,-0.0696325,0.129302,0.0522432,0.0332794,0.040184,-0.525848,-0.165682,-0.449836,-0.588609,1.27888,0.295852,0.00206848,0.0,0.0,0.185501,0.26344,0.265446,0.14996,0.405719,0.408664,4.04573,0.00251992,0.00251964,0.00251389,0.0901403,1.91815,0.300149,0.0,0.0,0.601977,0.000587803,0.0061226,0.0246063,0.0,0.0,0.0,0.0,0.0,0.0
1997578942,0.149119,0.172003,0.133779,0.0768585,-0.0147552,-0.839043,-0.129457,-0.379622,-0.639424,1.27888,-0.0947828,0.00705127,0.0,0.0,0.185501,0.264004,0.265827,0.150124,0.405613,0.40852,4.04596,0.00251966,0.00251914,0.00251428,0.0901403,1.91867,0.300154,0.0,0.0,0.601977,0.000476603,0.0147825,0.0236719,0.0,0.0,0.0,0.0,0.0,0.0
1997779742,0.218273,0.219139,0.27807,0.131271,0.0460815,-1.13244,-0.0695963,-0.120184,-0.73283,1.27888,-1.12131,0.0346594,0.0,0.0,0.185501,0.264156,0.265614,0.150137,0.40527,0.408073,4.04606,0.00251926,0.00251772,0.00251576,0.0901403,1.91691,0.300159,0.0,0.0,0.601977,0.000795827,0.0266817,0.0442023,0.0,0.0,0.0,0.0,0.0,0.0
1997980573,-0.0979056,0.166156,-0.386451,0.123764,0.0378914,0.557554,-0.0469246,-0.257114,-0.694596,1.27888,-1.70934,0.0295681,0.0,0.0,0.185501,0.264267,0.265131,0.149967,0.40509,0.40771,4.04616,0.00251909,0.00251827,0.00251521,0.0901403,1.91791,0.300171,0.0,0.0,0.601977,0.000595158,0.0100652,0.0269619,0.0,0.0,0.0,0.0,0.0,0.0
1998181342,0.11013,0.160614,-0.00338174,0.129837,0.0180473,-0.675957,0.0131923,-0.224642,-0.778289,1.27888,-1.82078,0.0425145,0.0,0.0,0.185501,0.26533,0.26577,0.150031,0.405063,0.407444,4.04619,0.00251881,0.00251812,0.00251535,0.0901403,1.91789,0.30018,0.0,0.0,0.601977,0.00041454,0.0125188,0.0278626,0.0,0.0,0.0,0.0,0.0,0.0
1998382942,-0.0254078,0.0633793,-0.111262,0.235001,-0.150959,-0.874044,0.0649452,-0.242181,-0.783209,1.27888,-2.16683,0.0486688,0.0,0.0,0.185501,0.266142,0.266208,0.150046,0.40701,0.40914,4.04604,0.00251839,0.00251808,0.00251553,0.0901403,1.91855,0.300186,0.0,0.0,0.601977,0.000142662,0.014298,0.038651,0.0,0.0,0.0,0.0,0.0,0.0
1998583780,-0.0506387,0.0304546,0.116193,0.0987091,-0.0252686,-0.118616,0.0854055,-0.184758,-0.83489,1.27888,-2.22726,0.0519912,0.0,0.0,0.185501,0.266515,0.266316,0.150012,0.407666,0.409445,4.04586,0.00251806,0.0025177,0.00251594,0.0901403,1.91834,0.300201,0.0,0.0,0.601977,2.34065e-05,0.0116616,0.0282389,0.0,0.0,0.0,0.0,0.0,0.0
1998780542,-0.039814,0.17954,0.0941322,0.0448456,0.0387802,-0.829336,0.113397,-0.118039,-0.863276,1.27888,-0.403984,-0.0132108,0.0,0.0,0.185501,0.267058,0.266749,0.149961,0.408801,0.410244,4.04591,0.00251779,0.0025173,0.00251642,0.0901403,1.91841,0.300213,0.0,0.0,0.601977,0.000300763,0.0097292,0.0193006,0.0,0.0,0.0,0.0,0.0,0.0
