timestamp,windspeed_north,windspeed_east,variance_north,variance_east,tas_innov,tas_innov_var,tas_scale,beta_innov,beta_innov_var
1966758146,-3.50394,3.88509,0.00743581,0.0299107,-2.17149,1.93169,0.0,-0.143415,0.300388
1966959742,-3.54547,3.88798,0.00738207,0.0299502,-1.89816,1.93201,0.0,-0.161785,0.300398
1967160542,-3.56825,3.88701,0.0073185,0.0299781,-0.0593586,1.93079,0.0,-0.146449,0.300403
1967361342,-3.56516,3.88653,0.0072643,0.030018,-0.241207,1.93042,0.0,-0.066914,0.300395
1967562142,-3.58304,3.88665,0.0072111,0.0300568,-1.3166,1.93031,0.0,-0.0443141,0.300409
1967759756,-3.59822,3.88661,0.00715877,0.0300819,-0.396674,1.93057,0.0,-0.0463392,0.300402
1967967742,-3.60577,3.88762,0.00711614,0.03012,-0.576286,1.93077,0.0,-0.00681039,0.300392
1968165342,-3.61669,3.89058,0.007077,0.0301502,-0.800334,1.93132,0.0,-0.0361878,0.300397
1968374942,-3.63872,3.89619,0.0070359,0.030172,-1.39477,1.93097,0.0,-0.0607756,0.300388
1968575742,-3.65923,3.90127,0.00700271,0.0302043,-0.84953,1.93031,0.0,-0.100926,0.300391
1968776542,-3.66946,3.90261,0.00696621,0.0302398,-0.414402,1.93056,0.0,-0.0507571,0.300393
1968977342,-3.67072,3.90228,0.00692976,0.0302647,0.218453,1.93009,0.0,-0.0718948,0.300399
1969182145,-3.65388,3.90096,0.00688686,0.030303,1.03652,1.93058,0.0,-0.0445416,0.300393
1969383800,-3.63731,3.89856,0.00685072,0.0303364,0.871004,1.92854,0.0,-0.0372689,0.3004
1969592542,-3.6196,3.8926,0.00681989,0.0303593,1.09067,1.92873,0.0,-0.212991,0.30042
1969793367,-3.5969,3.88915,0.00677727,0.0303924,1.03087,1.92963,0.0,-0.219151,0.300407
1969994942,-3.58218,3.88926,0.0067359,0.0304259,0.711128,1.93069,0.0,-0.210645,0.300393
1970191902,-3.5682,3.89116,0.00669085,0.0304561,0.776147,1.93061,0.0,-0.244424,0.300397
1970396558,-3.55283,3.89444,0.00664012,0.0304701,0.854586,1.93038,0.0,-0.257823,0.300381
1970597342,-3.52824,3.90635,0.00658258,0.0304792,2.07466,1.93098,0.0,-0.28879,0.300391
1970798942,-3.47163,3.94371,0.00651995,0.0304708,2.8647,1.93187,0.0,-0.246899,0.300379
1970999766,-3.41757,3.98696,0.00643977,0.0304217,2.07266,1.93176,0.0,-0.146821,0.300367
1971208569,-3.3808,4.01739,0.00637042,0.0303855,1.61582,1.93104,0.0,-0.139074,0.300359
1971410302,-3.33997,4.05691,0.00629297,0.0303165,1.70278,1.93179,0.0,-0.122693,0.300344
1971615742,-3.30561,4.09389,0.00619917,0.0301914,1.50131,1.93258,0.0,-0.140324,0.300339
1971815742,-3.26783,4.13943,0.00610837,0.030047,1.70879,1.9331,0.0,-0.113508,0.300321
1972016542,-3.23629,4.18267,0.00601078,0.0298406,1.04837,1.93422,0.0,-0.0415075,0.300299
1972218142,-3.21786,4.20945,0.0059091,0.0295888,0.59596,1.93403,0.0,-0.0824404,0.300314
1972414974,-3.20926,4.22265,0.00580575,0.0293043,0.186243,1.93404,0.0,-0.0994379,0.300308
1972623742,-3.21132,4.21893,0.00569019,0.0289745,-0.205088,1.93377,0.0,-0.11438,0.300317
1972821342,-3.2204,4.20263,0.00558525,0.0286284,-0.632055,1.93502,0.0,-0.116434,0.300317
1973030142,-3.24048,4.16207,0.00547655,0.0281502,-1.08858,1.93767,0.0,-0.0795484,0.300315
1973231742,-3.26246,4.11766,0.00536924,0.0276662,-1.02056,1.93598,0.0,-0.110774,0.300319
1973431765,-3.28596,4.0692,0.00526532,0.0271765,-1.25915,1.93473,0.0,-0.105186,0.300334
1973633342,-3.32304,3.99037,0.00515176,0.0265895,-1.45563,1.93607,0.0,-0.0465796,0.300345
1973834142,-3.35831,3.91119,0.00505343,0.0260119,-2.08648,1.9352,0.0,0.053429,0.300354
1974034942,-3.41415,3.78741,0.00495958,0.0254511,-3.08202,1.93557,0.0,0.0537532,0.300389
1974243742,-3.48727,3.62366,0.0048718,0.0249034,-3.77507,1.93453,0.0,0.0597877,0.300401
1974445348,-3.54164,3.49976,0.00481727,0.0245081,-4.37047,1.93516,0.0,0.0803181,0.300415
1974646942,-3.54056,3.50206,0.00482636,0.0244432,-4.33369,1.93601,0.0,0.0518443,0.300428
1974843755,-3.60404,3.35276,0.00476179,0.023955,-3.51381,1.93715,0.0,-0.0277648,0.300464
